clip_id,episode_id,start_t,end_t,root_family_id,strategy,seed,rank,budget,uncertainty,event_importance,model_disagreement,estimated_steps,predicted_event_id,gold_event_ids,gold_boundaries,provenance,not_human_annotation
formal_u2_family_001_r01:t025,formal_u2_family_001_r01,23,25,u2_family_001,entropy_only,642,1,15,1.6525201797485352,1.0,0.03933513315360182,3,0,"[7, 0, 8]","[1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_030_r02:t024,formal_u2_family_030_r02,22,24,u2_family_030,entropy_only,642,2,15,1.6525201797485352,1.0,0.022475327156000514,3,0,"[7, 0, 8]","[1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_060_r04:t022,formal_u2_family_060_r04,20,23,u2_family_060,entropy_only,642,3,15,1.6525201797485352,1.0,0.011236755508251003,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_033_r01:t024,formal_u2_family_033_r01,22,24,u2_family_033,entropy_only,642,4,15,1.6525201797485352,1.0,0.04264661161115311,3,0,"[7, 0, 8]","[1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_051_r03:t020,formal_u2_family_051_r03,18,20,u2_family_051,entropy_only,642,5,15,1.6525201797485352,1.0,0.017999454976497305,3,0,"[7, 0, 8]","[1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_055_r05:t022,formal_u2_family_055_r05,20,23,u2_family_055,entropy_only,642,6,15,1.6525201797485352,1.0,0.038385895933190924,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_038_r03:t026,formal_u2_family_038_r03,24,27,u2_family_038,entropy_only,642,7,15,1.6525201797485352,1.0,0.07039153081816026,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_051_r04:t026,formal_u2_family_051_r04,24,27,u2_family_051,entropy_only,642,8,15,1.6525201797485352,1.0,0.04013854396831739,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_024_r03:t024,formal_u2_family_024_r03,22,25,u2_family_024,entropy_only,642,9,15,1.6525201797485352,1.0,0.017313827873785857,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_042_r04:t024,formal_u2_family_042_r04,22,24,u2_family_042,entropy_only,642,10,15,1.6525201797485352,1.0,0.00638591564397232,3,0,"[7, 0, 8]","[1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_009_r05:t024,formal_u2_family_009_r05,22,24,u2_family_009,entropy_only,642,11,15,1.6525201797485352,1.0,0.024850835874212343,3,0,"[7, 0, 8]","[1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_038_r02:t027,formal_u2_family_038_r02,25,28,u2_family_038,entropy_only,642,12,15,1.6525201797485352,1.0,0.05498389231324409,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_054_r03:t022,formal_u2_family_054_r03,20,23,u2_family_054,entropy_only,642,13,15,1.6525201797485352,1.0,0.02845089068017188,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_042_r02:t024,formal_u2_family_042_r02,22,25,u2_family_042,entropy_only,642,14,15,1.6525201797485352,1.0,0.03130748349832346,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_069_r04:t023,formal_u2_family_069_r04,21,24,u2_family_069,entropy_only,642,15,15,1.6525201797485352,1.0,0.023752557257166133,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
