clip_id,episode_id,start_t,end_t,root_family_id,strategy,seed,rank,budget,uncertainty,event_importance,model_disagreement,estimated_steps,predicted_event_id,gold_event_ids,gold_boundaries,provenance,not_human_annotation
formal_u2_family_074_r02:t007,formal_u2_family_074_r02,5,9,u2_family_074,entropy_x_event_importance,642,1,30,1.095541000366211,2.0,0.01743588803917344,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_025_r01:t006,formal_u2_family_025_r01,4,8,u2_family_025,entropy_x_event_importance,642,2,30,1.072252869606018,2.0,0.012002665134340186,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_031_r04:t006,formal_u2_family_031_r04,4,8,u2_family_031,entropy_x_event_importance,642,3,30,0.8383640050888062,2.0,0.01703958674710265,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_080_r01:t005,formal_u2_family_080_r01,3,7,u2_family_080,entropy_x_event_importance,642,4,30,0.8383640050888062,2.0,0.01933687395884409,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_080_r02:t005,formal_u2_family_080_r02,3,7,u2_family_080,entropy_x_event_importance,642,5,30,0.8383640050888062,2.0,0.016451941703168535,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_068_r03:t006,formal_u2_family_068_r03,4,8,u2_family_068,entropy_x_event_importance,642,6,30,0.8383640050888062,2.0,0.018983612166521713,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_056_r04:t005,formal_u2_family_056_r04,3,7,u2_family_056,entropy_x_event_importance,642,7,30,0.8383640050888062,2.0,0.016423760816331345,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_068_r00:t006,formal_u2_family_068_r00,4,8,u2_family_068,entropy_x_event_importance,642,8,30,0.8383640050888062,2.0,0.02109947507171634,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_080_r03:t005,formal_u2_family_080_r03,3,7,u2_family_080,entropy_x_event_importance,642,9,30,0.8383640050888062,2.0,0.015321776606553985,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_001_r01:t025,formal_u2_family_001_r01,23,25,u2_family_001,entropy_x_event_importance,642,10,30,1.6525201797485352,1.0,0.03933513315360182,3,0,"[7, 0, 8]","[1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_030_r02:t024,formal_u2_family_030_r02,22,24,u2_family_030,entropy_x_event_importance,642,11,30,1.6525201797485352,1.0,0.022475327156000514,3,0,"[7, 0, 8]","[1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_060_r04:t022,formal_u2_family_060_r04,20,23,u2_family_060,entropy_x_event_importance,642,12,30,1.6525201797485352,1.0,0.011236755508251003,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_033_r01:t024,formal_u2_family_033_r01,22,24,u2_family_033,entropy_x_event_importance,642,13,30,1.6525201797485352,1.0,0.04264661161115311,3,0,"[7, 0, 8]","[1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_051_r03:t020,formal_u2_family_051_r03,18,20,u2_family_051,entropy_x_event_importance,642,14,30,1.6525201797485352,1.0,0.017999454976497305,3,0,"[7, 0, 8]","[1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_055_r05:t022,formal_u2_family_055_r05,20,23,u2_family_055,entropy_x_event_importance,642,15,30,1.6525201797485352,1.0,0.038385895933190924,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_038_r03:t026,formal_u2_family_038_r03,24,27,u2_family_038,entropy_x_event_importance,642,16,30,1.6525201797485352,1.0,0.07039153081816026,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_051_r04:t026,formal_u2_family_051_r04,24,27,u2_family_051,entropy_x_event_importance,642,17,30,1.6525201797485352,1.0,0.04013854396831739,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_024_r03:t024,formal_u2_family_024_r03,22,25,u2_family_024,entropy_x_event_importance,642,18,30,1.6525201797485352,1.0,0.017313827873785857,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_042_r04:t024,formal_u2_family_042_r04,22,24,u2_family_042,entropy_x_event_importance,642,19,30,1.6525201797485352,1.0,0.00638591564397232,3,0,"[7, 0, 8]","[1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_009_r05:t024,formal_u2_family_009_r05,22,24,u2_family_009,entropy_x_event_importance,642,20,30,1.6525201797485352,1.0,0.024850835874212343,3,0,"[7, 0, 8]","[1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_038_r02:t027,formal_u2_family_038_r02,25,28,u2_family_038,entropy_x_event_importance,642,21,30,1.6525201797485352,1.0,0.05498389231324409,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_054_r03:t022,formal_u2_family_054_r03,20,23,u2_family_054,entropy_x_event_importance,642,22,30,1.6525201797485352,1.0,0.02845089068017188,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_042_r02:t024,formal_u2_family_042_r02,22,25,u2_family_042,entropy_x_event_importance,642,23,30,1.6525201797485352,1.0,0.03130748349832346,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_069_r04:t023,formal_u2_family_069_r04,21,24,u2_family_069,entropy_x_event_importance,642,24,30,1.6525201797485352,1.0,0.023752557257166133,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_011_r02:t031,formal_u2_family_011_r02,29,32,u2_family_011,entropy_x_event_importance,642,25,30,1.6525201797485352,1.0,0.04268411868520593,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_055_r02:t024,formal_u2_family_055_r02,22,24,u2_family_055,entropy_x_event_importance,642,26,30,1.6525201797485352,1.0,0.03379223462717755,3,0,"[7, 0, 8]","[1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_012_r04:t025,formal_u2_family_012_r04,23,26,u2_family_012,entropy_x_event_importance,642,27,30,1.6525201797485352,1.0,0.025709173376069323,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_049_r00:t028,formal_u2_family_049_r00,26,28,u2_family_049,entropy_x_event_importance,642,28,30,1.6525201797485352,1.0,0.017586195361442465,3,0,"[7, 0, 8]","[1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_025_r01:t029,formal_u2_family_025_r01,27,29,u2_family_025,entropy_x_event_importance,642,29,30,1.6525201797485352,1.0,0.10424734022057486,3,0,"[7, 0, 8]","[1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_080_r01:t022,formal_u2_family_080_r01,20,23,u2_family_080,entropy_x_event_importance,642,30,30,1.6525201797485352,1.0,0.048304387926974446,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
