step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.249445,0.049258,0.979328,0.0,0.0,0.82,terminal_failure,scripted_oracle
10,0.15052,0.049263,0.979569,0.0,0.0,0.82,terminal_failure,scripted_oracle
20,0.011288,0.010431,0.969364,0.0,0.0,0.82,terminal_failure,scripted_oracle
30,0.209563,0.109368,0.990717,0.2,0.1,0.84,terminal_failure,scripted_oracle
40,0.410533,0.209114,1.00965,0.4,0.2,0.86,terminal_failure,scripted_oracle
50,0.609367,0.310672,1.029595,0.6,0.3,0.88,terminal_failure,scripted_oracle
60,0.810977,0.11063,0.771921,0.8,0.1,0.65,terminal_failure,scripted_oracle
70,0.809539,0.110304,0.770538,0.8,0.1,0.65,terminal_failure,scripted_oracle
80,0.810469,0.109007,0.770743,0.8,0.1,0.65,terminal_failure,scripted_oracle
90,0.81083,0.109971,0.770047,0.8,0.1,0.65,terminal_failure,scripted_oracle
100,0.808102,0.109835,0.768902,0.8,0.1,0.65,terminal_failure,scripted_oracle
110,0.812431,0.111017,0.768887,0.8,0.1,0.65,terminal_failure,scripted_oracle
