step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.250965,0.049912,0.980316,0.0,0.0,0.82,terminal_failure,scripted_oracle
10,0.148595,0.049037,0.98036,0.0,0.0,0.82,terminal_failure,scripted_oracle
20,0.010369,0.007879,0.971092,0.0,0.0,0.82,terminal_failure,scripted_oracle
30,0.210061,0.110961,0.989709,0.2,0.1,0.84,terminal_failure,scripted_oracle
40,0.411405,0.210049,1.010045,0.4,0.2,0.86,terminal_failure,scripted_oracle
50,0.60949,0.309266,1.030417,0.6,0.3,0.88,terminal_failure,scripted_oracle
60,0.810767,0.10954,0.769875,0.8,0.1,0.65,terminal_failure,scripted_oracle
70,0.809118,0.111109,0.770011,0.8,0.1,0.65,terminal_failure,scripted_oracle
80,0.811297,0.110437,0.769775,0.8,0.1,0.65,terminal_failure,scripted_oracle
90,0.810354,0.108572,0.769132,0.8,0.1,0.65,terminal_failure,scripted_oracle
100,0.809329,0.110496,0.769078,0.8,0.1,0.65,terminal_failure,scripted_oracle
110,0.810187,0.110913,0.769088,0.8,0.1,0.65,terminal_failure,scripted_oracle
