step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.2515,0.051363,0.98065,0.0,0.0,0.82,natural_success,scripted_oracle
10,0.147784,0.048463,0.978386,0.0,0.0,0.82,natural_success,scripted_oracle
20,0.008068,0.00922,0.9691,0.0,0.0,0.82,natural_success,scripted_oracle
30,0.210587,0.109447,0.987996,0.2,0.1,0.84,natural_success,scripted_oracle
40,0.410326,0.209147,1.01138,0.4,0.2,0.86,natural_success,scripted_oracle
50,0.611776,0.309293,1.030177,0.6,0.3,0.88,natural_success,scripted_oracle
60,0.809918,0.108951,0.77099,0.8,0.1,0.65,natural_success,scripted_oracle
70,0.811227,0.110938,0.769672,0.8,0.1,0.65,natural_success,scripted_oracle
80,0.809437,0.110475,0.769169,0.8,0.1,0.65,natural_success,scripted_oracle
90,0.811623,0.110957,0.770261,0.8,0.1,0.65,natural_success,scripted_oracle
100,0.809691,0.109702,0.769037,0.8,0.1,0.65,natural_success,scripted_oracle
110,0.808744,0.111603,0.770996,0.8,0.1,0.65,natural_success,scripted_oracle
