rollout_id,root_family_id,reference_group,event_time,reference_event_time,closed,contact_present,previous_contact_present,prior_contact_seen,observation_masked,command_target_delta_norm,command_target_delta_xy_norm,command_target_delta_z,command_gripper
L2RAR1_MISS_02_510000_r00,L2RAR1_MISS_02_510000,miss_without_prior_hold,0.45000000000000023,0.45,True,False,True,True,False,0.0,0.0,0.0,closed
L2RAR1_MISS_02_510000_r01,L2RAR1_MISS_02_510000,miss_without_prior_hold,0.45000000000000023,0.45,True,False,True,True,False,0.0,0.0,0.0,closed
L2RAR1_MISS_02_510000_r02,L2RAR1_MISS_02_510000,miss_without_prior_hold,0.45000000000000023,0.45,True,False,True,True,False,0.0,0.0,0.0,closed
L2RAR1_MISS_02_510000_r03,L2RAR1_MISS_02_510000,miss_without_prior_hold,0.45000000000000023,0.45,True,False,True,True,False,0.0,0.0,0.0,closed
L2RAR1_MISS_03_510000_r00,L2RAR1_MISS_03_510000,miss_without_prior_hold,0.45000000000000023,0.45,True,False,True,True,False,0.0,0.0,0.0,closed
L2RAR1_MISS_03_510000_r01,L2RAR1_MISS_03_510000,miss_without_prior_hold,0.45000000000000023,0.45,True,False,True,True,False,0.0,0.0,0.0,closed
L2RAR1_MISS_03_510000_r02,L2RAR1_MISS_03_510000,miss_without_prior_hold,0.45000000000000023,0.45,True,False,True,True,False,0.0,0.0,0.0,closed
L2RAR1_MISS_03_510000_r03,L2RAR1_MISS_03_510000,miss_without_prior_hold,0.45000000000000023,0.45,True,False,True,True,False,0.0,0.0,0.0,closed
L2RAR1_TOUC_02_510000_r00,L2RAR1_TOUC_02_510000,touch_without_hold_then_loss,0.5000000000000002,0.5,True,False,True,True,False,0.1,0.1,0.0,closed
L2RAR1_TOUC_02_510000_r01,L2RAR1_TOUC_02_510000,touch_without_hold_then_loss,0.5500000000000003,0.6,True,False,True,True,False,0.08000000000000002,0.08000000000000002,0.0,closed
L2RAR1_TOUC_02_510000_r02,L2RAR1_TOUC_02_510000,touch_without_hold_then_loss,0.6000000000000003,0.7,True,False,True,True,False,0.06999999999999999,0.06999999999999999,0.0,closed
L2RAR1_TOUC_02_510000_r03,L2RAR1_TOUC_02_510000,touch_without_hold_then_loss,0.6500000000000004,0.8,True,False,True,True,False,0.064,0.064,0.0,closed
L2RAR1_TOUC_03_510000_r00,L2RAR1_TOUC_03_510000,touch_without_hold_then_loss,0.5000000000000002,0.5,True,False,True,True,False,0.10000000000000002,0.10000000000000002,0.0,closed
L2RAR1_TOUC_03_510000_r01,L2RAR1_TOUC_03_510000,touch_without_hold_then_loss,0.5500000000000003,0.6,True,False,True,True,False,0.08,0.08,0.0,closed
L2RAR1_TOUC_03_510000_r02,L2RAR1_TOUC_03_510000,touch_without_hold_then_loss,0.6000000000000003,0.7,True,False,True,True,False,0.06999999999999998,0.06999999999999998,0.0,closed
L2RAR1_TOUC_03_510000_r03,L2RAR1_TOUC_03_510000,touch_without_hold_then_loss,0.6500000000000004,0.8,True,False,True,True,False,0.064,0.064,0.0,closed
