content_group_id,input_sha256,content_group_size,rollout_id,root_family_id,split,stratum,online_source,control_sha256,statistics_unit
000b584414ef16c4,000b584414ef16c4ab669b50b8d63a6cf7a6180e3ffa841b50069881789f057c,1,L2RAR1_NORM_00_510000_r01,L2RAR1_NORM_00_510000,dev_fit,normal_hold_pause_resume,/home/__compress_data/xushijie/graph_l2ra_r1_worktree/artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_v2/data/new_development/rollouts/L2RAR1_NORM_00_510000/rollout_01/observations_dense.jsonl,236fa48a467e1dc727ccbbff9eed01915bb268589f343134950a3b7e76fa3c5b,root_family_id
00c70afb235a050e,00c70afb235a050ead86626eb70f8b4c6feab68c7df68fc01d13239b29c00894,1,L2RAR1_MISS_00_510000_r03,L2RAR1_MISS_00_510000,dev_fit,miss_without_prior_hold,/home/__compress_data/xushijie/graph_l2ra_r1_worktree/artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_v2/data/new_development/rollouts/L2RAR1_MISS_00_510000/rollout_03/observations_dense.jsonl,98a473c6a47cbfe6fadaed14460f3f7b9fdaa5b014e1d45b1c40bbe6f677eac4,root_family_id
03445fea0f755460,03445fea0f755460f30599e7c03ef9225b51a96cb194f7041bea40a4a53383e9,1,L2RAR1_TOUC_02_510000_r00,L2RAR1_TOUC_02_510000,dev_select,touch_without_hold_then_loss,/home/__compress_data/xushijie/graph_l2ra_r1_worktree/artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_v2/data/new_development/rollouts/L2RAR1_TOUC_02_510000/rollout_00/observations_dense.jsonl,3a4c2e0353319f3294d2fd52940aa37d42640a99aae94768e7a463b7e35dcf64,root_family_id
043e4fb7f01c3726,043e4fb7f01c3726c10e13962e1d5ad8d51eb74684381019f10f09f412cb0553,1,L2RAR1_HIST_00_510000_r01,L2RAR1_HIST_00_510000,dev_fit,history_or_visual_unavailable,/home/__compress_data/xushijie/graph_l2ra_r1_worktree/artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_v2/data/new_development/rollouts/L2RAR1_HIST_00_510000/rollout_01/observations_dense.jsonl,9d649ab9ab8ec5c2a43517daa1cbe9996f39e0840d9ede5352536183b842f82a,root_family_id
08e7f38eb3920c96,08e7f38eb3920c96f98975a7cde2329631575c478a5bf2de8f61943c469a3701,1,L2RAR1_BRIE_01_510000_r02,L2RAR1_BRIE_01_510000,dev_fit,brief_true_hold_then_loss,/home/__compress_data/xushijie/graph_l2ra_r1_worktree/artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_v2/data/new_development/rollouts/L2RAR1_BRIE_01_510000/rollout_02/observations_dense.jsonl,0b081645103b53372488a0140a194684d944ef1ecc3fdfea2579003803889ac1,root_family_id
0d1ea9652f7a0b08,0d1ea9652f7a0b08a9e711985680d6ecb3e16ac636d21e671b27a84286b21a9c,1,L2RAR1_BRIE_00_510000_r02,L2RAR1_BRIE_00_510000,dev_fit,brief_true_hold_then_loss,/home/__compress_data/xushijie/graph_l2ra_r1_worktree/artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_v2/data/new_development/rollouts/L2RAR1_BRIE_00_510000/rollout_02/observations_dense.jsonl,9d980cf482eaaccc65402e61a07e8f0bb6b2a8f2135fb36b7d7437f8d9f016cd,root_family_id
0d30601b825328a5,0d30601b825328a5dfc41b3eecf3eed3021341ce35fe61b04ee48ccecce0e953,1,L2RAR1_NORM_03_510000_r03,L2RAR1_NORM_03_510000,dev_select,normal_hold_pause_resume,/home/__compress_data/xushijie/graph_l2ra_r1_worktree/artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_v2/data/new_development/rollouts/L2RAR1_NORM_03_510000/rollout_03/observations_dense.jsonl,85af662e623988658fd06d01361e2b207bdc6a558f6d1c7d1def807936fe7a7b,root_family_id
10dc8c98f8790099,10dc8c98f879009901ce24ca4bfe8cbe11b32b339bac54009e4db33da63452f7,1,L2RAR1_TOUC_03_510000_r01,L2RAR1_TOUC_03_510000,dev_select,touch_without_hold_then_loss,/home/__compress_data/xushijie/graph_l2ra_r1_worktree/artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_v2/data/new_development/rollouts/L2RAR1_TOUC_03_510000/rollout_01/observations_dense.jsonl,4dd0c579bebe4da747d8693c1805d0ea5daa1afb7768623b519a6f8fd528fe71,root_family_id
143405c369d019f6,143405c369d019f6a23f940815ce3974be02c2037be5fdf5d1ae1d1ae9461500,1,L2RAR1_TOUC_02_510000_r02,L2RAR1_TOUC_02_510000,dev_select,touch_without_hold_then_loss,/home/__compress_data/xushijie/graph_l2ra_r1_worktree/artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_v2/data/new_development/rollouts/L2RAR1_TOUC_02_510000/rollout_02/observations_dense.jsonl,61c138954ac3cfae570c53ac06f90d084b445715effdb9950f6e9fabf7f08044,root_family_id
148b5872b8d2b545,148b5872b8d2b5455fe6575e16fcb0ec36e66124eb18f69ee4f471a1546ee737,1,L2RAR1_TOUC_00_510000_r02,L2RAR1_TOUC_00_510000,dev_fit,touch_without_hold_then_loss,/home/__compress_data/xushijie/graph_l2ra_r1_worktree/artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_v2/data/new_development/rollouts/L2RAR1_TOUC_00_510000/rollout_02/observations_dense.jsonl,6aead42a06b3ad46625f75c254e712937e9a3d6671d6ce82a16f42c743d029ff,root_family_id
