step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.249822,0.050032,0.980959,0.0,0.0,0.82,terminal_failure,scripted_oracle
10,0.150765,0.051673,0.98197,0.0,0.0,0.82,terminal_failure,scripted_oracle
20,0.012062,0.010095,0.967977,0.0,0.0,0.82,terminal_failure,scripted_oracle
30,0.210522,0.109646,0.99101,0.2,0.1,0.84,terminal_failure,scripted_oracle
40,0.409437,0.208521,1.009017,0.4,0.2,0.86,terminal_failure,scripted_oracle
50,0.609679,0.309963,1.030103,0.6,0.3,0.88,terminal_failure,scripted_oracle
60,0.808993,0.110499,0.770062,0.8,0.1,0.65,terminal_failure,scripted_oracle
70,0.809283,0.109986,0.769662,0.8,0.1,0.65,terminal_failure,scripted_oracle
80,0.810169,0.110765,0.769628,0.8,0.1,0.65,terminal_failure,scripted_oracle
90,0.810033,0.108544,0.769307,0.8,0.1,0.65,terminal_failure,scripted_oracle
100,0.809936,0.110545,0.769082,0.8,0.1,0.65,terminal_failure,scripted_oracle
110,0.811134,0.110199,0.771742,0.8,0.1,0.65,terminal_failure,scripted_oracle
