step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.251004,0.05129,0.981235,0.0,0.0,0.82,gripper_reopen,scripted_oracle
10,0.151938,0.049958,0.980415,0.0,0.0,0.82,gripper_reopen,scripted_oracle
20,0.009622,0.010859,0.970057,0.0,0.0,0.82,gripper_reopen,scripted_oracle
30,0.209185,0.109714,0.989915,0.2,0.1,0.84,gripper_reopen,scripted_oracle
40,0.409604,0.210018,1.009761,0.4,0.2,0.86,gripper_reopen,scripted_oracle
50,0.61055,0.309989,1.029884,0.6,0.3,0.88,gripper_reopen,scripted_oracle
60,0.299553,0.200009,0.899556,0.8,0.1,0.55,gripper_reopen,scripted_oracle
70,0.809581,0.108197,0.67025,0.8,0.1,0.55,gripper_reopen,scripted_oracle
80,0.608858,0.109906,0.720191,0.6,0.1,0.6,gripper_reopen,scripted_oracle
90,0.809931,0.111229,0.770589,0.8,0.1,0.65,gripper_reopen,scripted_oracle
100,0.809628,0.109902,0.770771,0.8,0.1,0.65,gripper_reopen,scripted_oracle
110,0.809935,0.110135,0.768054,0.8,0.1,0.65,gripper_reopen,scripted_oracle
