step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.250591,0.050629,0.979321,0.0,0.0,0.82,natural_success,scripted_oracle
10,0.149917,0.049515,0.979745,0.0,0.0,0.82,natural_success,scripted_oracle
20,0.01003,0.009025,0.969497,0.0,0.0,0.82,natural_success,scripted_oracle
30,0.208895,0.109701,0.990749,0.2,0.1,0.84,natural_success,scripted_oracle
40,0.40912,0.209385,1.009372,0.4,0.2,0.86,natural_success,scripted_oracle
50,0.610329,0.309689,1.029381,0.6,0.3,0.88,natural_success,scripted_oracle
60,0.809271,0.111317,0.769588,0.8,0.1,0.65,natural_success,scripted_oracle
70,0.810134,0.110308,0.771125,0.8,0.1,0.65,natural_success,scripted_oracle
80,0.809887,0.111306,0.769678,0.8,0.1,0.65,natural_success,scripted_oracle
90,0.809227,0.109187,0.768957,0.8,0.1,0.65,natural_success,scripted_oracle
100,0.810258,0.109072,0.770381,0.8,0.1,0.65,natural_success,scripted_oracle
110,0.810679,0.112007,0.77034,0.8,0.1,0.65,natural_success,scripted_oracle
