step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.251147,0.04914,0.980826,0.0,0.0,0.82,natural_success,scripted_oracle
10,0.151632,0.050084,0.981451,0.0,0.0,0.82,natural_success,scripted_oracle
20,0.009722,0.009259,0.969757,0.0,0.0,0.82,natural_success,scripted_oracle
30,0.209958,0.109362,0.99027,0.2,0.1,0.84,natural_success,scripted_oracle
40,0.411575,0.207179,1.010597,0.4,0.2,0.86,natural_success,scripted_oracle
50,0.611062,0.310379,1.026418,0.6,0.3,0.88,natural_success,scripted_oracle
60,0.811006,0.111322,0.768618,0.8,0.1,0.65,natural_success,scripted_oracle
70,0.811045,0.110125,0.771802,0.8,0.1,0.65,natural_success,scripted_oracle
80,0.809269,0.110595,0.770477,0.8,0.1,0.65,natural_success,scripted_oracle
90,0.809924,0.110449,0.770027,0.8,0.1,0.65,natural_success,scripted_oracle
100,0.810021,0.108614,0.770041,0.8,0.1,0.65,natural_success,scripted_oracle
110,0.808906,0.110122,0.770828,0.8,0.1,0.65,natural_success,scripted_oracle
