family_id,case_id,trace_complete,numeric_health_pass,pre_hold_verified,physical_loss_confirmed,commanded_release
L2RAR2_FDROP_DEV_00_860000,F1_hold_request_ends_without_hold,True,True,False,False,False
L2RAR2_FDROP_DEV_00_860000,F2_touch_request_completes_without_hold,True,True,False,False,False
L2RAR2_FDROP_DEV_00_860000,F3_stable_hold_no_intervention,True,True,True,False,False
L2RAR2_FDROP_DEV_00_860000,F4_weld_off_no_force_outcome_control,True,True,True,False,False
L2RAR2_FDROP_DEV_00_860000,F5_forced_drop_regular,True,True,True,True,False
L2RAR2_FDROP_DEV_00_860000,F6_forced_drop_brief_hold,True,True,True,True,False
L2RAR2_FDROP_DEV_00_860000,F7_commanded_release,True,True,True,False,True
L2RAR2_FDROP_DEV_00_860000,F8_forced_drop_during_transport_long_observe,True,True,True,True,False
L2RAR2_FDROP_DEV_01_860001,F1_hold_request_ends_without_hold,True,True,False,False,False
L2RAR2_FDROP_DEV_01_860001,F2_touch_request_completes_without_hold,True,True,False,False,False
L2RAR2_FDROP_DEV_01_860001,F3_stable_hold_no_intervention,True,True,True,False,False
L2RAR2_FDROP_DEV_01_860001,F4_weld_off_no_force_outcome_control,True,True,True,False,False
L2RAR2_FDROP_DEV_01_860001,F5_forced_drop_regular,True,True,True,True,False
L2RAR2_FDROP_DEV_01_860001,F6_forced_drop_brief_hold,True,True,True,True,False
L2RAR2_FDROP_DEV_01_860001,F7_commanded_release,True,True,True,False,True
L2RAR2_FDROP_DEV_01_860001,F8_forced_drop_during_transport_long_observe,True,True,True,True,False
L2RAR2_FDROP_DEV_02_860002,F1_hold_request_ends_without_hold,True,True,False,False,False
L2RAR2_FDROP_DEV_02_860002,F2_touch_request_completes_without_hold,True,True,False,False,False
L2RAR2_FDROP_DEV_02_860002,F3_stable_hold_no_intervention,True,True,True,False,False
L2RAR2_FDROP_DEV_02_860002,F4_weld_off_no_force_outcome_control,True,True,True,False,False
L2RAR2_FDROP_DEV_02_860002,F5_forced_drop_regular,True,True,True,True,False
L2RAR2_FDROP_DEV_02_860002,F6_forced_drop_brief_hold,True,True,True,True,False
L2RAR2_FDROP_DEV_02_860002,F7_commanded_release,True,True,True,False,True
L2RAR2_FDROP_DEV_02_860002,F8_forced_drop_during_transport_long_observe,True,True,True,True,False
L2RAR2_FDROP_DEV_03_860003,F1_hold_request_ends_without_hold,True,True,False,False,False
L2RAR2_FDROP_DEV_03_860003,F2_touch_request_completes_without_hold,True,True,False,False,False
L2RAR2_FDROP_DEV_03_860003,F3_stable_hold_no_intervention,True,True,True,False,False
L2RAR2_FDROP_DEV_03_860003,F4_weld_off_no_force_outcome_control,True,True,True,False,False
L2RAR2_FDROP_DEV_03_860003,F5_forced_drop_regular,True,True,True,True,False
L2RAR2_FDROP_DEV_03_860003,F6_forced_drop_brief_hold,True,True,True,True,False
L2RAR2_FDROP_DEV_03_860003,F7_commanded_release,True,True,True,False,True
L2RAR2_FDROP_DEV_03_860003,F8_forced_drop_during_transport_long_observe,True,True,True,True,False
