step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.252113,0.048417,0.980833,0.0,0.0,0.82,terminal_failure,scripted_oracle
10,0.149527,0.052347,0.981609,0.0,0.0,0.82,terminal_failure,scripted_oracle
20,0.010718,0.011768,0.969634,0.0,0.0,0.82,terminal_failure,scripted_oracle
30,0.211152,0.110419,0.990892,0.2,0.1,0.84,terminal_failure,scripted_oracle
40,0.410917,0.209389,1.011408,0.4,0.2,0.86,terminal_failure,scripted_oracle
50,0.609158,0.308791,1.030988,0.6,0.3,0.88,terminal_failure,scripted_oracle
60,0.808525,0.111621,0.770235,0.8,0.1,0.65,terminal_failure,scripted_oracle
70,0.808765,0.110614,0.769773,0.8,0.1,0.65,terminal_failure,scripted_oracle
80,0.810439,0.109117,0.769882,0.8,0.1,0.65,terminal_failure,scripted_oracle
90,0.808287,0.110187,0.768809,0.8,0.1,0.65,terminal_failure,scripted_oracle
100,0.809494,0.110118,0.77023,0.8,0.1,0.65,terminal_failure,scripted_oracle
110,0.809412,0.110878,0.770352,0.8,0.1,0.65,terminal_failure,scripted_oracle
