step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.250045,0.049103,0.978981,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
10,0.149476,0.050094,0.980371,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
20,0.009236,0.00958,0.970306,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
30,0.209361,0.110136,0.988071,0.2,0.1,0.84,drop_and_regrasp,scripted_oracle
40,0.410851,0.211243,1.010994,0.4,0.2,0.86,drop_and_regrasp,scripted_oracle
50,0.608115,0.310686,1.031554,0.6,0.3,0.88,drop_and_regrasp,scripted_oracle
60,0.29916,0.199217,0.899192,0.8,0.1,0.55,drop_and_regrasp,scripted_oracle
70,0.809432,0.11052,0.670499,0.8,0.1,0.55,drop_and_regrasp,scripted_oracle
80,0.610376,0.10813,0.720072,0.6,0.1,0.6,drop_and_regrasp,scripted_oracle
90,0.811216,0.109535,0.768341,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
100,0.811608,0.109709,0.769574,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
110,0.810184,0.109773,0.769583,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
