step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.251752,0.051341,0.980833,0.0,0.0,0.82,natural_success,scripted_oracle
10,0.148576,0.050685,0.98026,0.0,0.0,0.82,natural_success,scripted_oracle
20,0.010018,0.010224,0.969948,0.0,0.0,0.82,natural_success,scripted_oracle
30,0.210439,0.10939,0.990579,0.2,0.1,0.84,natural_success,scripted_oracle
40,0.407689,0.212322,1.009008,0.4,0.2,0.86,natural_success,scripted_oracle
50,0.608841,0.31132,1.030016,0.6,0.3,0.88,natural_success,scripted_oracle
60,0.81122,0.108504,0.772778,0.8,0.1,0.65,natural_success,scripted_oracle
70,0.808326,0.108619,0.770674,0.8,0.1,0.65,natural_success,scripted_oracle
80,0.811423,0.110777,0.770504,0.8,0.1,0.65,natural_success,scripted_oracle
90,0.809479,0.111764,0.768181,0.8,0.1,0.65,natural_success,scripted_oracle
100,0.810307,0.108858,0.771632,0.8,0.1,0.65,natural_success,scripted_oracle
110,0.809808,0.109199,0.769566,0.8,0.1,0.65,natural_success,scripted_oracle
