step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.248271,0.052253,0.980506,0.0,0.0,0.82,gripper_reopen,scripted_oracle
10,0.149779,0.05114,0.980252,0.0,0.0,0.82,gripper_reopen,scripted_oracle
20,0.011122,0.010075,0.970248,0.0,0.0,0.82,gripper_reopen,scripted_oracle
30,0.208998,0.111035,0.989017,0.2,0.1,0.84,gripper_reopen,scripted_oracle
40,0.410065,0.208599,1.009759,0.4,0.2,0.86,gripper_reopen,scripted_oracle
50,0.61002,0.309705,1.029131,0.6,0.3,0.88,gripper_reopen,scripted_oracle
60,0.301644,0.202315,0.899866,0.8,0.1,0.55,gripper_reopen,scripted_oracle
70,0.810806,0.110555,0.670031,0.8,0.1,0.55,gripper_reopen,scripted_oracle
80,0.609815,0.108497,0.719323,0.6,0.1,0.6,gripper_reopen,scripted_oracle
90,0.808942,0.109621,0.770033,0.8,0.1,0.65,gripper_reopen,scripted_oracle
100,0.809865,0.109891,0.771148,0.8,0.1,0.65,gripper_reopen,scripted_oracle
110,0.810927,0.109872,0.771369,0.8,0.1,0.65,gripper_reopen,scripted_oracle
