step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.250064,0.051562,0.979763,0.0,0.0,0.82,natural_success,scripted_oracle
10,0.148428,0.049179,0.979272,0.0,0.0,0.82,natural_success,scripted_oracle
20,0.009321,0.010522,0.970112,0.0,0.0,0.82,natural_success,scripted_oracle
30,0.209503,0.108911,0.992057,0.2,0.1,0.84,natural_success,scripted_oracle
40,0.409709,0.212317,1.009019,0.4,0.2,0.86,natural_success,scripted_oracle
50,0.611374,0.309418,1.030251,0.6,0.3,0.88,natural_success,scripted_oracle
60,0.809487,0.110057,0.769443,0.8,0.1,0.65,natural_success,scripted_oracle
70,0.81014,0.110207,0.769344,0.8,0.1,0.65,natural_success,scripted_oracle
80,0.811072,0.109561,0.769973,0.8,0.1,0.65,natural_success,scripted_oracle
90,0.809211,0.109924,0.771824,0.8,0.1,0.65,natural_success,scripted_oracle
100,0.809313,0.109406,0.769956,0.8,0.1,0.65,natural_success,scripted_oracle
110,0.807862,0.111172,0.768525,0.8,0.1,0.65,natural_success,scripted_oracle
