step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.249602,0.050767,0.978529,0.0,0.0,0.82,terminal_failure,scripted_oracle
10,0.14933,0.050647,0.980746,0.0,0.0,0.82,terminal_failure,scripted_oracle
20,0.008355,0.01126,0.968577,0.0,0.0,0.82,terminal_failure,scripted_oracle
30,0.210438,0.110385,0.988474,0.2,0.1,0.84,terminal_failure,scripted_oracle
40,0.409484,0.210137,1.009882,0.4,0.2,0.86,terminal_failure,scripted_oracle
50,0.612244,0.307452,1.030411,0.6,0.3,0.88,terminal_failure,scripted_oracle
60,0.809782,0.109619,0.769326,0.8,0.1,0.65,terminal_failure,scripted_oracle
70,0.810426,0.110994,0.768964,0.8,0.1,0.65,terminal_failure,scripted_oracle
80,0.811153,0.110508,0.769458,0.8,0.1,0.65,terminal_failure,scripted_oracle
90,0.80845,0.112084,0.770261,0.8,0.1,0.65,terminal_failure,scripted_oracle
100,0.810033,0.109436,0.769217,0.8,0.1,0.65,terminal_failure,scripted_oracle
110,0.808789,0.109518,0.771854,0.8,0.1,0.65,terminal_failure,scripted_oracle
