setting_id,mode,legal_path_count,recovery_repeat_count,length_multiplier,path_gap,recovery_positive_rate,cycle_nonpositive_rate,failure_negative_rate,provenance
paths1_recovery0_length1_s20261101,oracle_state,1,0,1,0.08,0.9,0.98,0.96,controlled_symbolic_stress
paths1_recovery0_length1_s20261101,empirical_noisy_state,1,0,1,0.115,0.865,0.945,0.925,controlled_symbolic_stress
paths1_recovery0_length1_s20261102,oracle_state,1,0,1,0.08,0.9,0.98,0.96,controlled_symbolic_stress
paths1_recovery0_length1_s20261102,empirical_noisy_state,1,0,1,0.115,0.865,0.945,0.925,controlled_symbolic_stress
paths1_recovery0_length1_s20261103,oracle_state,1,0,1,0.08,0.9,0.98,0.96,controlled_symbolic_stress
paths1_recovery0_length1_s20261103,empirical_noisy_state,1,0,1,0.115,0.865,0.945,0.925,controlled_symbolic_stress
paths1_recovery0_length2_s20261101,oracle_state,1,0,2,0.09,0.886,0.973,0.955,controlled_symbolic_stress
paths1_recovery0_length2_s20261101,empirical_noisy_state,1,0,2,0.125,0.851,0.938,0.92,controlled_symbolic_stress
paths1_recovery0_length2_s20261102,oracle_state,1,0,2,0.09,0.886,0.973,0.955,controlled_symbolic_stress
paths1_recovery0_length2_s20261102,empirical_noisy_state,1,0,2,0.125,0.851,0.938,0.92,controlled_symbolic_stress
paths1_recovery0_length2_s20261103,oracle_state,1,0,2,0.09,0.886,0.973,0.955,controlled_symbolic_stress
paths1_recovery0_length2_s20261103,empirical_noisy_state,1,0,2,0.125,0.851,0.938,0.92,controlled_symbolic_stress
paths1_recovery0_length4_s20261101,oracle_state,1,0,4,0.11,0.858,0.959,0.945,controlled_symbolic_stress
paths1_recovery0_length4_s20261101,empirical_noisy_state,1,0,4,0.145,0.823,0.924,0.91,controlled_symbolic_stress
paths1_recovery0_length4_s20261102,oracle_state,1,0,4,0.11,0.858,0.959,0.945,controlled_symbolic_stress
paths1_recovery0_length4_s20261102,empirical_noisy_state,1,0,4,0.145,0.823,0.924,0.91,controlled_symbolic_stress
paths1_recovery0_length4_s20261103,oracle_state,1,0,4,0.11,0.858,0.959,0.945,controlled_symbolic_stress
paths1_recovery0_length4_s20261103,empirical_noisy_state,1,0,4,0.145,0.823,0.924,0.91,controlled_symbolic_stress
paths1_recovery1_length1_s20261101,oracle_state,1,1,1,0.088,0.8888,0.9744,0.956,controlled_symbolic_stress
paths1_recovery1_length1_s20261101,empirical_noisy_state,1,1,1,0.123,0.8538,0.9394,0.921,controlled_symbolic_stress
paths1_recovery1_length1_s20261102,oracle_state,1,1,1,0.088,0.8888,0.9744,0.956,controlled_symbolic_stress
paths1_recovery1_length1_s20261102,empirical_noisy_state,1,1,1,0.123,0.8538,0.9394,0.921,controlled_symbolic_stress
paths1_recovery1_length1_s20261103,oracle_state,1,1,1,0.088,0.8888,0.9744,0.956,controlled_symbolic_stress
paths1_recovery1_length1_s20261103,empirical_noisy_state,1,1,1,0.123,0.8538,0.9394,0.921,controlled_symbolic_stress
paths1_recovery1_length2_s20261101,oracle_state,1,1,2,0.098,0.8748,0.9674,0.951,controlled_symbolic_stress
paths1_recovery1_length2_s20261101,empirical_noisy_state,1,1,2,0.133,0.8398,0.9324,0.916,controlled_symbolic_stress
paths1_recovery1_length2_s20261102,oracle_state,1,1,2,0.098,0.8748,0.9674,0.951,controlled_symbolic_stress
paths1_recovery1_length2_s20261102,empirical_noisy_state,1,1,2,0.133,0.8398,0.9324,0.916,controlled_symbolic_stress
paths1_recovery1_length2_s20261103,oracle_state,1,1,2,0.098,0.8748,0.9674,0.951,controlled_symbolic_stress
paths1_recovery1_length2_s20261103,empirical_noisy_state,1,1,2,0.133,0.8398,0.9324,0.916,controlled_symbolic_stress
paths1_recovery1_length4_s20261101,oracle_state,1,1,4,0.118,0.8468,0.9534,0.941,controlled_symbolic_stress
paths1_recovery1_length4_s20261101,empirical_noisy_state,1,1,4,0.153,0.8118,0.9184,0.906,controlled_symbolic_stress
paths1_recovery1_length4_s20261102,oracle_state,1,1,4,0.118,0.8468,0.9534,0.941,controlled_symbolic_stress
paths1_recovery1_length4_s20261102,empirical_noisy_state,1,1,4,0.153,0.8118,0.9184,0.906,controlled_symbolic_stress
paths1_recovery1_length4_s20261103,oracle_state,1,1,4,0.118,0.8468,0.9534,0.941,controlled_symbolic_stress
paths1_recovery1_length4_s20261103,empirical_noisy_state,1,1,4,0.153,0.8118,0.9184,0.906,controlled_symbolic_stress
paths1_recovery2_length1_s20261101,oracle_state,1,2,1,0.096,0.8776,0.9688,0.952,controlled_symbolic_stress
paths1_recovery2_length1_s20261101,empirical_noisy_state,1,2,1,0.131,0.8426,0.9338,0.917,controlled_symbolic_stress
paths1_recovery2_length1_s20261102,oracle_state,1,2,1,0.096,0.8776,0.9688,0.952,controlled_symbolic_stress
paths1_recovery2_length1_s20261102,empirical_noisy_state,1,2,1,0.131,0.8426,0.9338,0.917,controlled_symbolic_stress
paths1_recovery2_length1_s20261103,oracle_state,1,2,1,0.096,0.8776,0.9688,0.952,controlled_symbolic_stress
paths1_recovery2_length1_s20261103,empirical_noisy_state,1,2,1,0.131,0.8426,0.9338,0.917,controlled_symbolic_stress
paths1_recovery2_length2_s20261101,oracle_state,1,2,2,0.106,0.8636,0.9618,0.947,controlled_symbolic_stress
paths1_recovery2_length2_s20261101,empirical_noisy_state,1,2,2,0.141,0.8286,0.9268,0.912,controlled_symbolic_stress
paths1_recovery2_length2_s20261102,oracle_state,1,2,2,0.106,0.8636,0.9618,0.947,controlled_symbolic_stress
paths1_recovery2_length2_s20261102,empirical_noisy_state,1,2,2,0.141,0.8286,0.9268,0.912,controlled_symbolic_stress
paths1_recovery2_length2_s20261103,oracle_state,1,2,2,0.106,0.8636,0.9618,0.947,controlled_symbolic_stress
paths1_recovery2_length2_s20261103,empirical_noisy_state,1,2,2,0.141,0.8286,0.9268,0.912,controlled_symbolic_stress
paths1_recovery2_length4_s20261101,oracle_state,1,2,4,0.126,0.8356,0.9478,0.937,controlled_symbolic_stress
paths1_recovery2_length4_s20261101,empirical_noisy_state,1,2,4,0.161,0.8006,0.9128,0.902,controlled_symbolic_stress
paths1_recovery2_length4_s20261102,oracle_state,1,2,4,0.126,0.8356,0.9478,0.937,controlled_symbolic_stress
paths1_recovery2_length4_s20261102,empirical_noisy_state,1,2,4,0.161,0.8006,0.9128,0.902,controlled_symbolic_stress
paths1_recovery2_length4_s20261103,oracle_state,1,2,4,0.126,0.8356,0.9478,0.937,controlled_symbolic_stress
paths1_recovery2_length4_s20261103,empirical_noisy_state,1,2,4,0.161,0.8006,0.9128,0.902,controlled_symbolic_stress
paths1_recovery4_length1_s20261101,oracle_state,1,4,1,0.112,0.8552,0.9576,0.944,controlled_symbolic_stress
paths1_recovery4_length1_s20261101,empirical_noisy_state,1,4,1,0.147,0.8202,0.9226,0.909,controlled_symbolic_stress
paths1_recovery4_length1_s20261102,oracle_state,1,4,1,0.112,0.8552,0.9576,0.944,controlled_symbolic_stress
paths1_recovery4_length1_s20261102,empirical_noisy_state,1,4,1,0.147,0.8202,0.9226,0.909,controlled_symbolic_stress
paths1_recovery4_length1_s20261103,oracle_state,1,4,1,0.112,0.8552,0.9576,0.944,controlled_symbolic_stress
paths1_recovery4_length1_s20261103,empirical_noisy_state,1,4,1,0.147,0.8202,0.9226,0.909,controlled_symbolic_stress
paths1_recovery4_length2_s20261101,oracle_state,1,4,2,0.122,0.8412,0.9506,0.939,controlled_symbolic_stress
paths1_recovery4_length2_s20261101,empirical_noisy_state,1,4,2,0.157,0.8062,0.9156,0.904,controlled_symbolic_stress
paths1_recovery4_length2_s20261102,oracle_state,1,4,2,0.122,0.8412,0.9506,0.939,controlled_symbolic_stress
paths1_recovery4_length2_s20261102,empirical_noisy_state,1,4,2,0.157,0.8062,0.9156,0.904,controlled_symbolic_stress
paths1_recovery4_length2_s20261103,oracle_state,1,4,2,0.122,0.8412,0.9506,0.939,controlled_symbolic_stress
paths1_recovery4_length2_s20261103,empirical_noisy_state,1,4,2,0.157,0.8062,0.9156,0.904,controlled_symbolic_stress
paths1_recovery4_length4_s20261101,oracle_state,1,4,4,0.142,0.8132,0.9366,0.929,controlled_symbolic_stress
paths1_recovery4_length4_s20261101,empirical_noisy_state,1,4,4,0.177,0.7782,0.9016,0.894,controlled_symbolic_stress
paths1_recovery4_length4_s20261102,oracle_state,1,4,4,0.142,0.8132,0.9366,0.929,controlled_symbolic_stress
