step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.249562,0.050696,0.98064,0.0,0.0,0.82,gripper_reopen,scripted_oracle
10,0.149238,0.051073,0.980299,0.0,0.0,0.82,gripper_reopen,scripted_oracle
20,0.010964,0.010493,0.968991,0.0,0.0,0.82,gripper_reopen,scripted_oracle
30,0.210032,0.110283,0.989326,0.2,0.1,0.84,gripper_reopen,scripted_oracle
40,0.410495,0.210328,1.007724,0.4,0.2,0.86,gripper_reopen,scripted_oracle
50,0.610332,0.309839,1.031705,0.6,0.3,0.88,gripper_reopen,scripted_oracle
60,0.300107,0.20024,0.899805,0.8,0.1,0.55,gripper_reopen,scripted_oracle
70,0.808871,0.110455,0.669749,0.8,0.1,0.55,gripper_reopen,scripted_oracle
80,0.607889,0.110362,0.717922,0.6,0.1,0.6,gripper_reopen,scripted_oracle
90,0.810213,0.108688,0.769238,0.8,0.1,0.65,gripper_reopen,scripted_oracle
100,0.810672,0.111088,0.771129,0.8,0.1,0.65,gripper_reopen,scripted_oracle
110,0.810716,0.110523,0.768863,0.8,0.1,0.65,gripper_reopen,scripted_oracle
