step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.251872,0.049612,0.981444,0.0,0.0,0.82,terminal_failure,scripted_oracle
10,0.151815,0.05126,0.979436,0.0,0.0,0.82,terminal_failure,scripted_oracle
20,0.011518,0.010273,0.969415,0.0,0.0,0.82,terminal_failure,scripted_oracle
30,0.209544,0.110667,0.989937,0.2,0.1,0.84,terminal_failure,scripted_oracle
40,0.409771,0.211897,1.009817,0.4,0.2,0.86,terminal_failure,scripted_oracle
50,0.610619,0.310715,1.028162,0.6,0.3,0.88,terminal_failure,scripted_oracle
60,0.810397,0.10894,0.769498,0.8,0.1,0.65,terminal_failure,scripted_oracle
70,0.81008,0.109275,0.770811,0.8,0.1,0.65,terminal_failure,scripted_oracle
80,0.808944,0.110334,0.770244,0.8,0.1,0.65,terminal_failure,scripted_oracle
90,0.808865,0.109546,0.76957,0.8,0.1,0.65,terminal_failure,scripted_oracle
100,0.808989,0.110916,0.771127,0.8,0.1,0.65,terminal_failure,scripted_oracle
110,0.8104,0.110214,0.772033,0.8,0.1,0.65,terminal_failure,scripted_oracle
