clip_id,episode_id,start_t,end_t,root_family_id,strategy,seed,rank,budget,uncertainty,event_importance,model_disagreement,estimated_steps,predicted_event_id
formal_u2_family_008_r00:t005,formal_u2_family_008_r00,3,7,u2_family_008,random_stratified,642,1,15,0.11553627997636795,2.0,0.03394187608291485,5,3
formal_u2_family_062_r02:t005,formal_u2_family_062_r02,3,7,u2_family_062,random_stratified,642,2,15,0.8113319873809814,2.0,0.014777327523786219,5,5
formal_u2_family_044_r02:t007,formal_u2_family_044_r02,5,9,u2_family_044,random_stratified,642,3,15,0.7594584822654724,2.0,0.025866533818235147,5,5
formal_u2_family_044_r03:t006,formal_u2_family_044_r03,4,8,u2_family_044,random_stratified,642,4,15,0.33675917983055115,2.0,0.009630681479923704,5,4
formal_u2_family_026_r01:t004,formal_u2_family_026_r01,2,6,u2_family_026,random_stratified,642,5,15,0.11553627997636795,2.0,0.024936092516468885,5,3
formal_u2_family_055_r00:t006,formal_u2_family_055_r00,4,8,u2_family_055,random_stratified,642,6,15,0.7594584822654724,2.0,0.021857489524550758,5,5
formal_u2_family_032_r05:t006,formal_u2_family_032_r05,4,8,u2_family_032,random_stratified,642,7,15,0.33675917983055115,2.0,0.009507939048732733,5,4
formal_u2_family_056_r05:t005,formal_u2_family_056_r05,3,7,u2_family_056,random_stratified,642,8,15,0.8113319873809814,2.0,0.019776720320915087,5,5
formal_u2_family_061_r04:t005,formal_u2_family_061_r04,3,7,u2_family_061,random_stratified,642,9,15,0.33675917983055115,2.0,0.0044488526289064995,5,4
formal_u2_family_062_r01:t004,formal_u2_family_062_r01,2,6,u2_family_062,random_stratified,642,10,15,0.33675917983055115,2.0,0.008627473213863082,5,4
formal_u2_family_074_r01:t007,formal_u2_family_074_r01,5,9,u2_family_074,random_stratified,642,11,15,0.7870166897773743,2.0,0.030811407934721802,5,5
formal_u2_family_007_r03:t004,formal_u2_family_007_r03,2,6,u2_family_007,random_stratified,642,12,15,0.11553627997636795,2.0,0.030667256580056517,5,3
formal_u2_family_074_r02:t006,formal_u2_family_074_r02,4,8,u2_family_074,random_stratified,642,13,15,0.33675917983055115,2.0,0.001994272683655395,5,4
formal_u2_family_025_r01:t004,formal_u2_family_025_r01,2,6,u2_family_025,random_stratified,642,14,15,0.11553627997636795,2.0,0.02496950800204886,5,3
formal_u2_family_055_r04:t006,formal_u2_family_055_r04,4,8,u2_family_055,random_stratified,642,15,15,0.7594584822654724,2.0,0.022370120204357653,5,5
