clip_id,episode_id,start_t,end_t,root_family_id,strategy,seed,rank,budget,uncertainty,event_importance,model_disagreement,estimated_steps,predicted_event_id
formal_u2_family_074_r02:t007,formal_u2_family_074_r02,5,9,u2_family_074,entropy_x_event_importance,643,1,30,1.095541000366211,2.0,0.01743588803917344,5,5
formal_u2_family_025_r01:t006,formal_u2_family_025_r01,4,8,u2_family_025,entropy_x_event_importance,643,2,30,1.072252869606018,2.0,0.012002665134340186,5,5
formal_u2_family_080_r03:t005,formal_u2_family_080_r03,3,7,u2_family_080,entropy_x_event_importance,643,3,30,0.8383640050888062,2.0,0.015321776606553985,5,5
formal_u2_family_031_r04:t006,formal_u2_family_031_r04,4,8,u2_family_031,entropy_x_event_importance,643,4,30,0.8383640050888062,2.0,0.01703958674710265,5,5
formal_u2_family_056_r04:t005,formal_u2_family_056_r04,3,7,u2_family_056,entropy_x_event_importance,643,5,30,0.8383640050888062,2.0,0.016423760816331345,5,5
formal_u2_family_080_r01:t005,formal_u2_family_080_r01,3,7,u2_family_080,entropy_x_event_importance,643,6,30,0.8383640050888062,2.0,0.01933687395884409,5,5
formal_u2_family_068_r03:t006,formal_u2_family_068_r03,4,8,u2_family_068,entropy_x_event_importance,643,7,30,0.8383640050888062,2.0,0.018983612166521713,5,5
formal_u2_family_068_r00:t006,formal_u2_family_068_r00,4,8,u2_family_068,entropy_x_event_importance,643,8,30,0.8383640050888062,2.0,0.02109947507171634,5,5
formal_u2_family_080_r02:t005,formal_u2_family_080_r02,3,7,u2_family_080,entropy_x_event_importance,643,9,30,0.8383640050888062,2.0,0.016451941703168535,5,5
formal_u2_family_075_r05:t026,formal_u2_family_075_r05,24,26,u2_family_075,entropy_x_event_importance,643,10,30,1.6525201797485352,1.0,0.025561447815711725,3,0
formal_u2_family_000_r03:t026,formal_u2_family_000_r03,24,26,u2_family_000,entropy_x_event_importance,643,11,30,1.6525201797485352,1.0,0.019592523976898306,3,0
formal_u2_family_023_r04:t030,formal_u2_family_023_r04,28,31,u2_family_023,entropy_x_event_importance,643,12,30,1.6525201797485352,1.0,0.02617954748281538,4,0
formal_u2_family_043_r04:t024,formal_u2_family_043_r04,22,24,u2_family_043,entropy_x_event_importance,643,13,30,1.6525201797485352,1.0,0.01969930637958762,3,0
formal_u2_family_060_r05:t027,formal_u2_family_060_r05,25,27,u2_family_060,entropy_x_event_importance,643,14,30,1.6525201797485352,1.0,0.030052715592779496,3,0
formal_u2_family_045_r03:t024,formal_u2_family_045_r03,22,24,u2_family_045,entropy_x_event_importance,643,15,30,1.6525201797485352,1.0,0.02757069940173906,3,0
formal_u2_family_008_r02:t026,formal_u2_family_008_r02,24,27,u2_family_008,entropy_x_event_importance,643,16,30,1.6525201797485352,1.0,0.04632705464421796,4,0
formal_u2_family_013_r03:t024,formal_u2_family_013_r03,22,25,u2_family_013,entropy_x_event_importance,643,17,30,1.6525201797485352,1.0,0.013526759848320427,4,0
formal_u2_family_068_r05:t026,formal_u2_family_068_r05,24,26,u2_family_068,entropy_x_event_importance,643,18,30,1.6525201797485352,1.0,0.042989146275170906,3,0
formal_u2_family_030_r04:t023,formal_u2_family_030_r04,21,23,u2_family_030,entropy_x_event_importance,643,19,30,1.6525201797485352,1.0,0.021388525098310865,3,0
formal_u2_family_026_r04:t023,formal_u2_family_026_r04,21,23,u2_family_026,entropy_x_event_importance,643,20,30,1.6525201797485352,1.0,0.023346864840075348,3,0
formal_u2_family_053_r00:t032,formal_u2_family_053_r00,30,32,u2_family_053,entropy_x_event_importance,643,21,30,1.6525201797485352,1.0,0.022537305846762216,3,0
formal_u2_family_055_r02:t024,formal_u2_family_055_r02,22,24,u2_family_055,entropy_x_event_importance,643,22,30,1.6525201797485352,1.0,0.03379223462717755,3,0
formal_u2_family_075_r00:t024,formal_u2_family_075_r00,22,25,u2_family_075,entropy_x_event_importance,643,23,30,1.6525201797485352,1.0,0.021519093591457376,4,0
formal_u2_family_026_r03:t024,formal_u2_family_026_r03,22,24,u2_family_026,entropy_x_event_importance,643,24,30,1.6525201797485352,1.0,0.016155044578467632,3,0
formal_u2_family_023_r05:t032,formal_u2_family_023_r05,30,32,u2_family_023,entropy_x_event_importance,643,25,30,1.6525201797485352,1.0,0.0013817037427091186,3,0
formal_u2_family_006_r02:t024,formal_u2_family_006_r02,22,24,u2_family_006,entropy_x_event_importance,643,26,30,1.6525201797485352,1.0,0.023085322572193607,3,0
formal_u2_family_050_r05:t025,formal_u2_family_050_r05,23,25,u2_family_050,entropy_x_event_importance,643,27,30,1.6525201797485352,1.0,0.009667121249180809,3,0
formal_u2_family_047_r03:t031,formal_u2_family_047_r03,29,31,u2_family_047,entropy_x_event_importance,643,28,30,1.6525201797485352,1.0,0.007051794585307783,3,0
formal_u2_family_024_r01:t027,formal_u2_family_024_r01,25,27,u2_family_024,entropy_x_event_importance,643,29,30,1.6525201797485352,1.0,0.03032492982979309,3,0
formal_u2_family_071_r03:t030,formal_u2_family_071_r03,28,30,u2_family_071,entropy_x_event_importance,643,30,30,1.6525201797485352,1.0,0.04844241649888616,3,0
