clip_id,episode_id,start_t,end_t,root_family_id,strategy,seed,rank,budget,uncertainty,event_importance,model_disagreement,estimated_steps,predicted_event_id
formal_u2_family_075_r05:t026,formal_u2_family_075_r05,24,26,u2_family_075,entropy_only,643,1,30,1.6525201797485352,1.0,0.025561447815711725,3,0
formal_u2_family_000_r03:t026,formal_u2_family_000_r03,24,26,u2_family_000,entropy_only,643,2,30,1.6525201797485352,1.0,0.019592523976898306,3,0
formal_u2_family_023_r04:t030,formal_u2_family_023_r04,28,31,u2_family_023,entropy_only,643,3,30,1.6525201797485352,1.0,0.02617954748281538,4,0
formal_u2_family_043_r04:t024,formal_u2_family_043_r04,22,24,u2_family_043,entropy_only,643,4,30,1.6525201797485352,1.0,0.01969930637958762,3,0
formal_u2_family_060_r05:t027,formal_u2_family_060_r05,25,27,u2_family_060,entropy_only,643,5,30,1.6525201797485352,1.0,0.030052715592779496,3,0
formal_u2_family_045_r03:t024,formal_u2_family_045_r03,22,24,u2_family_045,entropy_only,643,6,30,1.6525201797485352,1.0,0.02757069940173906,3,0
formal_u2_family_008_r02:t026,formal_u2_family_008_r02,24,27,u2_family_008,entropy_only,643,7,30,1.6525201797485352,1.0,0.04632705464421796,4,0
formal_u2_family_013_r03:t024,formal_u2_family_013_r03,22,25,u2_family_013,entropy_only,643,8,30,1.6525201797485352,1.0,0.013526759848320427,4,0
formal_u2_family_068_r05:t026,formal_u2_family_068_r05,24,26,u2_family_068,entropy_only,643,9,30,1.6525201797485352,1.0,0.042989146275170906,3,0
formal_u2_family_030_r04:t023,formal_u2_family_030_r04,21,23,u2_family_030,entropy_only,643,10,30,1.6525201797485352,1.0,0.021388525098310865,3,0
formal_u2_family_026_r04:t023,formal_u2_family_026_r04,21,23,u2_family_026,entropy_only,643,11,30,1.6525201797485352,1.0,0.023346864840075348,3,0
formal_u2_family_053_r00:t032,formal_u2_family_053_r00,30,32,u2_family_053,entropy_only,643,12,30,1.6525201797485352,1.0,0.022537305846762216,3,0
formal_u2_family_055_r02:t024,formal_u2_family_055_r02,22,24,u2_family_055,entropy_only,643,13,30,1.6525201797485352,1.0,0.03379223462717755,3,0
formal_u2_family_075_r00:t024,formal_u2_family_075_r00,22,25,u2_family_075,entropy_only,643,14,30,1.6525201797485352,1.0,0.021519093591457376,4,0
formal_u2_family_026_r03:t024,formal_u2_family_026_r03,22,24,u2_family_026,entropy_only,643,15,30,1.6525201797485352,1.0,0.016155044578467632,3,0
formal_u2_family_023_r05:t032,formal_u2_family_023_r05,30,32,u2_family_023,entropy_only,643,16,30,1.6525201797485352,1.0,0.0013817037427091186,3,0
formal_u2_family_006_r02:t024,formal_u2_family_006_r02,22,24,u2_family_006,entropy_only,643,17,30,1.6525201797485352,1.0,0.023085322572193607,3,0
formal_u2_family_050_r05:t025,formal_u2_family_050_r05,23,25,u2_family_050,entropy_only,643,18,30,1.6525201797485352,1.0,0.009667121249180809,3,0
formal_u2_family_047_r03:t031,formal_u2_family_047_r03,29,31,u2_family_047,entropy_only,643,19,30,1.6525201797485352,1.0,0.007051794585307783,3,0
formal_u2_family_024_r01:t027,formal_u2_family_024_r01,25,27,u2_family_024,entropy_only,643,20,30,1.6525201797485352,1.0,0.03032492982979309,3,0
formal_u2_family_071_r03:t030,formal_u2_family_071_r03,28,30,u2_family_071,entropy_only,643,21,30,1.6525201797485352,1.0,0.04844241649888616,3,0
formal_u2_family_035_r00:t031,formal_u2_family_035_r00,29,32,u2_family_035,entropy_only,643,22,30,1.6525201797485352,1.0,0.03395771611296586,4,0
formal_u2_family_067_r02:t024,formal_u2_family_067_r02,22,24,u2_family_067,entropy_only,643,23,30,1.6525201797485352,1.0,0.008151871054950974,3,0
formal_u2_family_065_r02:t037,formal_u2_family_065_r02,35,38,u2_family_065,entropy_only,643,24,30,1.6525201797485352,1.0,0.05638077073448195,4,0
formal_u2_family_050_r05:t024,formal_u2_family_050_r05,22,25,u2_family_050,entropy_only,643,25,30,1.6525201797485352,1.0,0.0342980870928169,4,0
formal_u2_family_042_r03:t021,formal_u2_family_042_r03,19,22,u2_family_042,entropy_only,643,26,30,1.6525201797485352,1.0,0.019319890247431165,4,0
formal_u2_family_021_r00:t023,formal_u2_family_021_r00,21,24,u2_family_021,entropy_only,643,27,30,1.6525201797485352,1.0,0.028544429414251296,4,0
formal_u2_family_038_r05:t030,formal_u2_family_038_r05,28,31,u2_family_038,entropy_only,643,28,30,1.6525201797485352,1.0,0.05653565230245011,4,0
formal_u2_family_008_r05:t023,formal_u2_family_008_r05,21,24,u2_family_008,entropy_only,643,29,30,1.6525201797485352,1.0,0.03174195362329995,4,0
formal_u2_family_015_r00:t025,formal_u2_family_015_r00,23,26,u2_family_015,entropy_only,643,30,30,1.6525201797485352,1.0,0.02883421888310158,4,0
