clip_id,episode_id,start_t,end_t,root_family_id,strategy,seed,rank,budget,uncertainty,event_importance,model_disagreement,estimated_steps,predicted_event_id
formal_u2_family_007_r04:t005,formal_u2_family_007_r04,3,7,u2_family_007,random_stratified,641,1,15,0.33675917983055115,2.0,0.008051940914176377,5,4
formal_u2_family_068_r02:t004,formal_u2_family_068_r02,2,6,u2_family_068,random_stratified,641,2,15,0.11553627997636795,2.0,0.030397518792297344,5,3
formal_u2_family_056_r01:t004,formal_u2_family_056_r01,2,6,u2_family_056,random_stratified,641,3,15,0.33675917983055115,2.0,0.009403756413357119,5,4
formal_u2_family_049_r00:t004,formal_u2_family_049_r00,2,6,u2_family_049,random_stratified,641,4,15,0.11553627997636795,2.0,0.024870747997705864,5,3
formal_u2_family_055_r00:t006,formal_u2_family_055_r00,4,8,u2_family_055,random_stratified,641,5,15,0.7594584822654724,2.0,0.021857489524550758,5,5
formal_u2_family_007_r05:t005,formal_u2_family_007_r05,3,7,u2_family_007,random_stratified,641,6,15,0.33675917983055115,2.0,0.007063497799254306,5,4
formal_u2_family_067_r01:t006,formal_u2_family_067_r01,4,8,u2_family_067,random_stratified,641,7,15,0.7594584822654724,2.0,0.02067661334822357,5,5
formal_u2_family_001_r03:t004,formal_u2_family_001_r03,2,6,u2_family_001,random_stratified,641,8,15,0.11553627997636795,2.0,0.024951835600439377,5,3
formal_u2_family_074_r02:t005,formal_u2_family_074_r02,3,7,u2_family_074,random_stratified,641,9,15,0.11553627997636795,2.0,0.023498625457526578,5,3
formal_u2_family_080_r01:t003,formal_u2_family_080_r01,1,5,u2_family_080,random_stratified,641,10,15,0.19151626527309418,2.0,0.03026911198190019,5,3
formal_u2_family_080_r03:t003,formal_u2_family_080_r03,1,5,u2_family_080,random_stratified,641,11,15,0.19151626527309418,2.0,0.029859299844339753,5,3
formal_u2_family_032_r05:t006,formal_u2_family_032_r05,4,8,u2_family_032,random_stratified,641,12,15,0.33675917983055115,2.0,0.009507939048732733,5,4
formal_u2_family_068_r01:t005,formal_u2_family_068_r01,3,7,u2_family_068,random_stratified,641,13,15,0.33675917983055115,2.0,0.006940196593995327,5,4
formal_u2_family_067_r04:t004,formal_u2_family_067_r04,2,6,u2_family_067,random_stratified,641,14,15,0.11553627997636795,2.0,0.030545236550529636,5,3
formal_u2_family_019_r03:t006,formal_u2_family_019_r03,4,8,u2_family_019,random_stratified,641,15,15,0.8113319873809814,2.0,0.01932931692215709,5,5
