step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.251053,0.050063,0.98059,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
10,0.148873,0.049054,0.98016,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
20,0.009038,0.010556,0.968883,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
30,0.211261,0.110344,0.990573,0.2,0.1,0.84,drop_and_regrasp,scripted_oracle
40,0.408266,0.209386,1.009374,0.4,0.2,0.86,drop_and_regrasp,scripted_oracle
50,0.609221,0.310493,1.030866,0.6,0.3,0.88,drop_and_regrasp,scripted_oracle
60,0.301455,0.200904,0.898531,0.8,0.1,0.55,drop_and_regrasp,scripted_oracle
70,0.810135,0.111235,0.67094,0.8,0.1,0.55,drop_and_regrasp,scripted_oracle
80,0.608741,0.111115,0.720208,0.6,0.1,0.6,drop_and_regrasp,scripted_oracle
90,0.809509,0.111784,0.769637,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
100,0.809948,0.111604,0.771704,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
110,0.809114,0.110497,0.769879,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
