step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.248776,0.049503,0.981681,0.0,0.0,0.82,gripper_reopen,scripted_oracle
10,0.150346,0.052246,0.98043,0.0,0.0,0.82,gripper_reopen,scripted_oracle
20,0.010136,0.008608,0.967916,0.0,0.0,0.82,gripper_reopen,scripted_oracle
30,0.210287,0.109357,0.991477,0.2,0.1,0.84,gripper_reopen,scripted_oracle
40,0.411021,0.209734,1.011594,0.4,0.2,0.86,gripper_reopen,scripted_oracle
50,0.610385,0.310399,1.02946,0.6,0.3,0.88,gripper_reopen,scripted_oracle
60,0.300731,0.198918,0.898147,0.8,0.1,0.55,gripper_reopen,scripted_oracle
70,0.810479,0.109249,0.670324,0.8,0.1,0.55,gripper_reopen,scripted_oracle
80,0.61163,0.1111,0.719612,0.6,0.1,0.6,gripper_reopen,scripted_oracle
90,0.81004,0.11075,0.770315,0.8,0.1,0.65,gripper_reopen,scripted_oracle
100,0.808684,0.110308,0.772085,0.8,0.1,0.65,gripper_reopen,scripted_oracle
110,0.809399,0.108912,0.770932,0.8,0.1,0.65,gripper_reopen,scripted_oracle
