step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.24917,0.049697,0.979657,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
10,0.1492,0.050743,0.979238,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
20,0.00941,0.009441,0.969222,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
30,0.211469,0.109631,0.990198,0.2,0.1,0.84,drop_and_regrasp,scripted_oracle
40,0.41022,0.210282,1.009983,0.4,0.2,0.86,drop_and_regrasp,scripted_oracle
50,0.608893,0.308946,1.029549,0.6,0.3,0.88,drop_and_regrasp,scripted_oracle
60,0.299426,0.201763,0.898498,0.8,0.1,0.55,drop_and_regrasp,scripted_oracle
70,0.808322,0.110516,0.670613,0.8,0.1,0.55,drop_and_regrasp,scripted_oracle
80,0.609493,0.109977,0.720151,0.6,0.1,0.6,drop_and_regrasp,scripted_oracle
90,0.810615,0.111383,0.771187,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
100,0.809347,0.109342,0.770125,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
110,0.808436,0.111089,0.767319,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
