step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.250965,0.049847,0.980278,0.0,0.0,0.82,gripper_reopen,scripted_oracle
10,0.150801,0.049976,0.979272,0.0,0.0,0.82,gripper_reopen,scripted_oracle
20,0.009575,0.009518,0.970363,0.0,0.0,0.82,gripper_reopen,scripted_oracle
30,0.209104,0.109039,0.989883,0.2,0.1,0.84,gripper_reopen,scripted_oracle
40,0.410086,0.208645,1.010604,0.4,0.2,0.86,gripper_reopen,scripted_oracle
50,0.610429,0.309329,1.030564,0.6,0.3,0.88,gripper_reopen,scripted_oracle
60,0.300029,0.199332,0.898393,0.8,0.1,0.55,gripper_reopen,scripted_oracle
70,0.808663,0.110129,0.668669,0.8,0.1,0.55,gripper_reopen,scripted_oracle
80,0.609004,0.108333,0.717697,0.6,0.1,0.6,gripper_reopen,scripted_oracle
90,0.811189,0.10828,0.768662,0.8,0.1,0.65,gripper_reopen,scripted_oracle
100,0.809136,0.110311,0.770809,0.8,0.1,0.65,gripper_reopen,scripted_oracle
110,0.811557,0.11058,0.770331,0.8,0.1,0.65,gripper_reopen,scripted_oracle
