claim,status,evidence
state_contract_implementation,SUPPORTED_WITHIN_DECLARED_DOMAIN,StateKernel+ingest
legacy_reference_binding,SUPPORTED_WITHIN_DECLARED_DOMAIN,recovery graph costs scale=6
current_G1_reward_view,SUPPORTED_WITHIN_DECLARED_DOMAIN,G1_RW_NORMAL_PATH_V4 human bindings
old_runtime_equivalence,NO_INCREMENTAL_BENEFIT,false; new contract
formal_cycle_safety_per_method,SUPPORTED_WITHIN_DECLARED_DOMAIN,packaged probes + potential telescoping
raw_cycle_coverage,DATA_LIMITED,pilot family; dual-order RAW_NOT_FOUND
debt_local_invariants,SUPPORTED_WITHIN_DECLARED_DOMAIN,packaged FULL loops
residual_debt_effect_within_tested_suffixes,NO_INCREMENTAL_BENEFIT,inherited V3 matched suffix unchanged
phi_incremental_value,COUNTEREXAMPLE,FULL same-node phi not debited on failure; potential does debit
graph_vs_unordered_incremental_value,SUPPORTED_WITHIN_DECLARED_DOMAIN,dual lifted costs vs unordered counts
positive_weight_diagnostic,SUPPORTED_WITHIN_DECLARED_DOMAIN,weights/signed_vs_weight.csv
