rollout_id,root_family_id,case_id,original_reference_status,original_reference_reason,selected_weld_interval_index,weld_interval_count,weld_sample_count,anchor_time,anchor_capture_order,anchor_phase,anchor_action_candidates,anchor_relative_position_xyz_m,peak_first_time,peak_last_time,peak_first_capture_order,peak_last_capture_order,peak_first_phase,peak_last_phase,peak_action_candidates,peak_relative_position_xyz_m,peak_relative_delta_from_anchor_xyz_m,maximum_relative_position_drift_m,frozen_relative_drift_limit_m,relative_drift_excess_m,peak_first_stage,peak_last_stage,peak_stages,peak_occurrence_count,peak_persists_after_first_attainment,interval_followed_by_nonweld,relative_position_definition,stage_definition,reference_label_changed,reference_version_changed,action_names_role
L2RAR2_SELECT_01_820001:K3_normal_hold_pause_resume,L2RAR2_SELECT_01_820001,K3_normal_hold_pause_resume,reference_unresolved,pause case did not establish frozen physical hold proxy,0,1,27,0.45,11,action_end,"close_gripper,lift","[2.142092491347336e-05,-0.0002486141054822838,-0.12681525583456688]",0.5,1.5,12,37,control_tick,action_end,lift,"[-0.0006844525335635288,0.01820141931281853,-0.13553080860371913]","[-0.0007058734584770021,0.018450033418300815,-0.008715552769152257]",0.020417219461711274,0.02,0.0004172194617112733,constraint_establishment,sustained_hold,"constraint_establishment,sustained_hold",26,True,False,relative_position_world_m = object_xyz_world_m - gripper_xyz_world_m; drift_m = L2(relative_position_world_m[t] - relative_position_world_m[first_weld_row]),constraint_establishment = first two distinct weld-active timestamps; loss_boundary = final weld-active timestamp before weld becomes false; sustained_hold = intervening rows,False,False,offline stage localization only; never supplied to online hold evidence
L2RAR2_SELECT_01_820001:K4_regular_hold_loss,L2RAR2_SELECT_01_820001,K4_regular_hold_loss,reference_unresolved,held loss lacks frozen physical proxy support,0,1,10,0.45,11,action_end,"close_gripper,lift","[2.142092491347336e-05,-0.0002486141054822838,-0.12681525583456688]",0.5,0.85,12,20,control_tick,control_tick,lift,"[-0.0006844525335635288,0.01820141931281853,-0.13553080860371913]","[-0.0007058734584770021,0.018450033418300815,-0.008715552769152257]",0.020417219461711263,0.02,0.0004172194617112629,constraint_establishment,loss_boundary,"constraint_establishment,loss_boundary,sustained_hold",9,True,True,relative_position_world_m = object_xyz_world_m - gripper_xyz_world_m; drift_m = L2(relative_position_world_m[t] - relative_position_world_m[first_weld_row]),constraint_establishment = first two distinct weld-active timestamps; loss_boundary = final weld-active timestamp before weld becomes false; sustained_hold = intervening rows,False,False,offline stage localization only; never supplied to online hold evidence
L2RAR2_SELECT_01_820001:K5_brief_hold_loss,L2RAR2_SELECT_01_820001,K5_brief_hold_loss,reference_unresolved,held loss lacks frozen physical proxy support,0,1,7,0.45,11,action_end,"close_gripper,lift","[2.142092491347336e-05,-0.0002486141054822838,-0.12681525583456688]",0.5,0.7,12,17,control_tick,control_tick,lift,"[-0.0006844525335635288,0.01820141931281853,-0.13553080860371913]","[-0.0007058734584770021,0.018450033418300815,-0.008715552769152257]",0.020417219461711263,0.02,0.0004172194617112629,constraint_establishment,loss_boundary,"constraint_establishment,loss_boundary,sustained_hold",6,True,True,relative_position_world_m = object_xyz_world_m - gripper_xyz_world_m; drift_m = L2(relative_position_world_m[t] - relative_position_world_m[first_weld_row]),constraint_establishment = first two distinct weld-active timestamps; loss_boundary = final weld-active timestamp before weld becomes false; sustained_hold = intervening rows,False,False,offline stage localization only; never supplied to online hold evidence
L2RAR2_SELECT_01_820001:K6_long_gap_after_loss,L2RAR2_SELECT_01_820001,K6_long_gap_after_loss,reference_unresolved,held loss lacks frozen physical proxy support,0,1,10,0.45,11,action_end,"close_gripper,lift","[2.142092491347336e-05,-0.0002486141054822838,-0.12681525583456688]",0.5,0.85,12,20,control_tick,control_tick,lift,"[-0.0006844525335635288,0.01820141931281853,-0.13553080860371913]","[-0.0007058734584770021,0.018450033418300815,-0.008715552769152257]",0.020417219461711263,0.02,0.0004172194617112629,constraint_establishment,loss_boundary,"constraint_establishment,loss_boundary,sustained_hold",9,True,True,relative_position_world_m = object_xyz_world_m - gripper_xyz_world_m; drift_m = L2(relative_position_world_m[t] - relative_position_world_m[first_weld_row]),constraint_establishment = first two distinct weld-active timestamps; loss_boundary = final weld-active timestamp before weld becomes false; sustained_hold = intervening rows,False,False,offline stage localization only; never supplied to online hold evidence
L2RAR2_SELECT_03_820003:K3_normal_hold_pause_resume,L2RAR2_SELECT_03_820003,K3_normal_hold_pause_resume,reference_unresolved,pause case did not establish frozen physical hold proxy,0,1,27,0.45,11,action_end,"close_gripper,lift","[1.0670080177410668e-05,-9.764837108866553e-05,-0.1259564207562841]",1.0,1.5,25,37,control_tick,action_end,transport_to_target,"[-0.0006964782613280429,0.01824515509749255,-0.13571917442698678]","[-0.0007071483415054536,0.018342803468581217,-0.009762753670702673]",0.02079110043020108,0.02,0.0007911004302010791,sustained_hold,sustained_hold,sustained_hold,9,True,False,relative_position_world_m = object_xyz_world_m - gripper_xyz_world_m; drift_m = L2(relative_position_world_m[t] - relative_position_world_m[first_weld_row]),constraint_establishment = first two distinct weld-active timestamps; loss_boundary = final weld-active timestamp before weld becomes false; sustained_hold = intervening rows,False,False,offline stage localization only; never supplied to online hold evidence
L2RAR2_SELECT_03_820003:K4_regular_hold_loss,L2RAR2_SELECT_03_820003,K4_regular_hold_loss,reference_unresolved,held loss lacks frozen physical proxy support,0,1,10,0.45,11,action_end,"close_gripper,lift","[1.0670080177410668e-05,-9.764837108866553e-05,-0.1259564207562841]",0.7,0.7,17,17,control_tick,control_tick,transport_to_target,"[-0.0006964782613280152,0.018245155097492485,-0.1357191744269869]","[-0.0007071483415054258,0.01834280346858115,-0.009762753670702784]",0.020791100430201076,0.02,0.0007911004302010756,sustained_hold,sustained_hold,sustained_hold,1,False,True,relative_position_world_m = object_xyz_world_m - gripper_xyz_world_m; drift_m = L2(relative_position_world_m[t] - relative_position_world_m[first_weld_row]),constraint_establishment = first two distinct weld-active timestamps; loss_boundary = final weld-active timestamp before weld becomes false; sustained_hold = intervening rows,False,False,offline stage localization only; never supplied to online hold evidence
L2RAR2_SELECT_03_820003:K6_long_gap_after_loss,L2RAR2_SELECT_03_820003,K6_long_gap_after_loss,reference_unresolved,held loss lacks frozen physical proxy support,0,1,10,0.45,11,action_end,"close_gripper,lift","[1.0670080177410668e-05,-9.764837108866553e-05,-0.1259564207562841]",0.7,0.7,17,17,control_tick,control_tick,transport_to_target,"[-0.0006964782613280152,0.018245155097492485,-0.1357191744269869]","[-0.0007071483415054258,0.01834280346858115,-0.009762753670702784]",0.020791100430201076,0.02,0.0007911004302010756,sustained_hold,sustained_hold,sustained_hold,1,False,True,relative_position_world_m = object_xyz_world_m - gripper_xyz_world_m; drift_m = L2(relative_position_world_m[t] - relative_position_world_m[first_weld_row]),constraint_establishment = first two distinct weld-active timestamps; loss_boundary = final weld-active timestamp before weld becomes false; sustained_hold = intervening rows,False,False,offline stage localization only; never supplied to online hold evidence
L2RAR2_SELECT_05_820005:K3_normal_hold_pause_resume,L2RAR2_SELECT_05_820005,K3_normal_hold_pause_resume,reference_unresolved,pause case did not establish frozen physical hold proxy,0,1,27,0.45,11,action_end,"close_gripper,lift","[-3.187530776183056e-05,0.0001442773362482913,-0.12639470187332602]",0.5,1.5,12,37,control_tick,action_end,lift,"[-0.0006882735754548674,0.01822175854025368,-0.13561746606497682]","[-0.0006563982676930369,0.01807748120400539,-0.0092227641916508]",0.020304816293229735,0.02,0.00030481629322973505,constraint_establishment,sustained_hold,"constraint_establishment,sustained_hold",26,True,False,relative_position_world_m = object_xyz_world_m - gripper_xyz_world_m; drift_m = L2(relative_position_world_m[t] - relative_position_world_m[first_weld_row]),constraint_establishment = first two distinct weld-active timestamps; loss_boundary = final weld-active timestamp before weld becomes false; sustained_hold = intervening rows,False,False,offline stage localization only; never supplied to online hold evidence
L2RAR2_SELECT_05_820005:K4_regular_hold_loss,L2RAR2_SELECT_05_820005,K4_regular_hold_loss,reference_unresolved,held loss lacks frozen physical proxy support,0,1,10,0.45,11,action_end,"close_gripper,lift","[-3.187530776183056e-05,0.0001442773362482913,-0.12639470187332602]",0.5,0.85,12,20,control_tick,control_tick,lift,"[-0.0006882735754548674,0.01822175854025368,-0.13561746606497682]","[-0.0006563982676930369,0.01807748120400539,-0.0092227641916508]",0.020304816293229715,0.02,0.00030481629322971424,constraint_establishment,loss_boundary,"constraint_establishment,loss_boundary,sustained_hold",9,True,True,relative_position_world_m = object_xyz_world_m - gripper_xyz_world_m; drift_m = L2(relative_position_world_m[t] - relative_position_world_m[first_weld_row]),constraint_establishment = first two distinct weld-active timestamps; loss_boundary = final weld-active timestamp before weld becomes false; sustained_hold = intervening rows,False,False,offline stage localization only; never supplied to online hold evidence
L2RAR2_SELECT_05_820005:K5_brief_hold_loss,L2RAR2_SELECT_05_820005,K5_brief_hold_loss,reference_unresolved,held loss lacks frozen physical proxy support,0,1,7,0.45,11,action_end,"close_gripper,lift","[-3.187530776183056e-05,0.0001442773362482913,-0.12639470187332602]",0.5,0.7,12,17,control_tick,control_tick,lift,"[-0.0006882735754548674,0.01822175854025368,-0.13561746606497682]","[-0.0006563982676930369,0.01807748120400539,-0.0092227641916508]",0.020304816293229715,0.02,0.00030481629322971424,constraint_establishment,loss_boundary,"constraint_establishment,loss_boundary,sustained_hold",6,True,True,relative_position_world_m = object_xyz_world_m - gripper_xyz_world_m; drift_m = L2(relative_position_world_m[t] - relative_position_world_m[first_weld_row]),constraint_establishment = first two distinct weld-active timestamps; loss_boundary = final weld-active timestamp before weld becomes false; sustained_hold = intervening rows,False,False,offline stage localization only; never supplied to online hold evidence
