evidence_id,path,sha256,source_round,recorded_purpose,python,numpy,mujoco,opencv,platform,MUJOCO_GL,evidence_status,notes
E1_execution_result_runtime,/home/__compress_data/xushijie/graph_l2ra_r2_forced_drop_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/replay_consistency_l2rar2_r14_v1/executions/ordinary_002_e8027aed85c2233b/result.json,e24dc2e7ab47f7b17a7a45cb3912d584aa1afaed96ee914e1e81c333bbaff8a4,R14 ordinary_002,runtime recorded by the completed ordinary replay,3.10.19,2.2.6,3.4.0,4.13.0,Linux-7.1.8-1.el10.elrepo.x86_64-x86_64-with-glibc2.39,UNRECORDED,DIRECT_EXECUTION_EVIDENCE,Proves the replay-reported versions only; does not prove historical cache collection equivalence.
E2_environment_requirements,/home/__compress_data/xushijie/graph_l2ra_r2_r14_forensics_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/replay_consistency_l2rar2_r14_v1/application_v1/environment_requirements.json,420c57d6204b29091a345eb081d505ca889d945bb0d3559da88ff50b0a48c7c5,R14 application,adjacent controlled reconstruction environment requirement,3.10.19,UNRECORDED,3.4.0,4.13.0,UNRECORDED,UNRECORDED,ADJACENT_ONLY,The file explicitly says equivalence with historical collection is not proven.
E3_candidate_1,/home/__compress_data/xushijie/graph_l2ra_r2_forced_drop_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/rounds/l2ra_0_entry/environment/python_environment.json,0140186c07266d9a5cd0688422df875d56b7f4be1aa783638b18b741f0ea6952,historical adjacent record,candidate,/home/__compress_data/xushijie/.conda/envs/lerobot/bin/python,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E4_candidate_2,/home/__compress_data/xushijie/graph_l2ra_r2_forced_drop_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/baseline_replay/runtime_environment.json,856f5ce4dbcdd2bc0d1bc3d379d17750ada8bdebbc58535f23eb769c5b157ba3,historical adjacent record,dependency inventory for cache-only interface diagnostic,/home/xushijie/.conda/envs/lerobot/bin/python,,"{'installed': True, 'version': '3.4.0'}",,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E5_candidate_3,/home/__compress_data/xushijie/graph_l2ra_r2_forced_drop_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/replay_consistency_l2rar2_r14_v1/application_v1/environment_requirements.json,420c57d6204b29091a345eb081d505ca889d945bb0d3559da88ff50b0a48c7c5,historical adjacent record,l2rar2_r14_environment_requirements_v1,3.10.19,,3.4.0,4.13.0,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E6_candidate_4,/home/__compress_data/xushijie/graph_l2ra_r2_forced_drop_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/replay_readiness_l2rar2_r13_v1/replay_environment_contract.json,518117f85112981f5fad79a8954569a99e25a452df1da1f21da5153fa39faa12,historical adjacent record,l2rar2_r13_replay_environment_contract_v1,,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E7_candidate_5,/home/__compress_data/xushijie/graph_l2ra_r2_forced_drop_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/rounds/l2rar2_10_online_interface_repair/runtime_environment.json,856f5ce4dbcdd2bc0d1bc3d379d17750ada8bdebbc58535f23eb769c5b157ba3,historical adjacent record,dependency inventory for cache-only interface diagnostic,/home/xushijie/.conda/envs/lerobot/bin/python,,"{'installed': True, 'version': '3.4.0'}",,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E8_candidate_6,/home/__compress_data/xushijie/graph_l2ra_r2_forced_drop_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/delivery/protocol/execution_environment_audit.json,e16668effb8b090f556ae914831e8cbdde46ec9d49638cf60f82d535d17b8af6,historical adjacent record,u4b_execution_environment_audit_v1,,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E9_candidate_7,/home/__compress_data/xushijie/graph_l2ra_r2_forced_drop_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/protocol/execution_environment_audit.json,e16668effb8b090f556ae914831e8cbdde46ec9d49638cf60f82d535d17b8af6,historical adjacent record,u4b_execution_environment_audit_v1,,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E10_candidate_8,/home/__compress_data/xushijie/graph_l2ra_r2_forced_drop_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/protocol_v1/manifests/execution_environment_v3.json,b7d03d7b1692dde653206f4df8656050424021e95a8bc9840cae18bd039717f6,historical adjacent record,u4r1_execution_environment_audit_v1,,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
