step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.249349,0.050363,0.978563,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
10,0.151029,0.048347,0.979885,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
20,0.010063,0.009263,0.969847,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
30,0.208356,0.108816,0.989964,0.2,0.1,0.84,drop_and_regrasp,scripted_oracle
40,0.408334,0.209526,1.010525,0.4,0.2,0.86,drop_and_regrasp,scripted_oracle
50,0.609454,0.310227,1.031767,0.6,0.3,0.88,drop_and_regrasp,scripted_oracle
60,0.300318,0.199736,0.898734,0.8,0.1,0.55,drop_and_regrasp,scripted_oracle
70,0.809127,0.109374,0.670402,0.8,0.1,0.55,drop_and_regrasp,scripted_oracle
80,0.609849,0.109513,0.720338,0.6,0.1,0.6,drop_and_regrasp,scripted_oracle
90,0.80915,0.110346,0.770755,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
100,0.810486,0.109461,0.770877,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
110,0.809756,0.110737,0.770368,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
