trace_id,position,provenance,status
early_000,early,scripted_oracle,PASS
early_001,early,scripted_oracle,PASS
early_002,early,scripted_oracle,PASS
early_003,early,scripted_oracle,PASS
early_004,early,scripted_oracle,PASS
early_005,early,scripted_oracle,PASS
early_006,early,scripted_oracle,PASS
early_007,early,scripted_oracle,PASS
early_008,early,scripted_oracle,PASS
early_009,early,scripted_oracle,PASS
early_010,early,scripted_oracle,PASS
early_011,early,scripted_oracle,PASS
early_012,early,scripted_oracle,PASS
early_013,early,scripted_oracle,PASS
early_014,early,scripted_oracle,PASS
early_015,early,scripted_oracle,PASS
early_016,early,scripted_oracle,PASS
early_017,early,scripted_oracle,PASS
early_018,early,scripted_oracle,PASS
early_019,early,scripted_oracle,PASS
early_020,early,scripted_oracle,PASS
early_021,early,scripted_oracle,PASS
early_022,early,scripted_oracle,PASS
early_023,early,scripted_oracle,PASS
early_024,early,scripted_oracle,PASS
early_025,early,scripted_oracle,PASS
early_026,early,scripted_oracle,PASS
early_027,early,scripted_oracle,PASS
early_028,early,scripted_oracle,PASS
early_029,early,scripted_oracle,PASS
mid_000,mid,scripted_oracle,PASS
mid_001,mid,scripted_oracle,PASS
mid_002,mid,scripted_oracle,PASS
mid_003,mid,scripted_oracle,PASS
mid_004,mid,scripted_oracle,PASS
mid_005,mid,scripted_oracle,PASS
mid_006,mid,scripted_oracle,PASS
mid_007,mid,scripted_oracle,PASS
mid_008,mid,scripted_oracle,PASS
mid_009,mid,scripted_oracle,PASS
mid_010,mid,scripted_oracle,PASS
mid_011,mid,scripted_oracle,PASS
mid_012,mid,scripted_oracle,PASS
mid_013,mid,scripted_oracle,PASS
mid_014,mid,scripted_oracle,PASS
mid_015,mid,scripted_oracle,PASS
mid_016,mid,scripted_oracle,PASS
mid_017,mid,scripted_oracle,PASS
mid_018,mid,scripted_oracle,PASS
mid_019,mid,scripted_oracle,PASS
mid_020,mid,scripted_oracle,PASS
mid_021,mid,scripted_oracle,PASS
mid_022,mid,scripted_oracle,PASS
mid_023,mid,scripted_oracle,PASS
mid_024,mid,scripted_oracle,PASS
mid_025,mid,scripted_oracle,PASS
mid_026,mid,scripted_oracle,PASS
mid_027,mid,scripted_oracle,PASS
mid_028,mid,scripted_oracle,PASS
mid_029,mid,scripted_oracle,PASS
late_000,late,scripted_oracle,PASS
late_001,late,scripted_oracle,PASS
late_002,late,scripted_oracle,PASS
late_003,late,scripted_oracle,PASS
late_004,late,scripted_oracle,PASS
late_005,late,scripted_oracle,PASS
late_006,late,scripted_oracle,PASS
late_007,late,scripted_oracle,PASS
late_008,late,scripted_oracle,PASS
late_009,late,scripted_oracle,PASS
late_010,late,scripted_oracle,PASS
late_011,late,scripted_oracle,PASS
late_012,late,scripted_oracle,PASS
late_013,late,scripted_oracle,PASS
late_014,late,scripted_oracle,PASS
late_015,late,scripted_oracle,PASS
late_016,late,scripted_oracle,PASS
late_017,late,scripted_oracle,PASS
late_018,late,scripted_oracle,PASS
late_019,late,scripted_oracle,PASS
late_020,late,scripted_oracle,PASS
late_021,late,scripted_oracle,PASS
late_022,late,scripted_oracle,PASS
late_023,late,scripted_oracle,PASS
late_024,late,scripted_oracle,PASS
late_025,late,scripted_oracle,PASS
late_026,late,scripted_oracle,PASS
late_027,late,scripted_oracle,PASS
late_028,late,scripted_oracle,PASS
late_029,late,scripted_oracle,PASS
