step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.249513,0.050379,0.981428,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
10,0.147761,0.04952,0.979646,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
20,0.009356,0.009972,0.970391,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
30,0.212011,0.109939,0.989202,0.2,0.1,0.84,drop_and_regrasp,scripted_oracle
40,0.409218,0.21071,1.009865,0.4,0.2,0.86,drop_and_regrasp,scripted_oracle
50,0.608932,0.309509,1.028037,0.6,0.3,0.88,drop_and_regrasp,scripted_oracle
60,0.300109,0.198851,0.9002,0.8,0.1,0.55,drop_and_regrasp,scripted_oracle
70,0.810445,0.110043,0.669091,0.8,0.1,0.55,drop_and_regrasp,scripted_oracle
80,0.61074,0.110487,0.72119,0.6,0.1,0.6,drop_and_regrasp,scripted_oracle
90,0.808938,0.110107,0.770513,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
100,0.810474,0.110932,0.772568,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
110,0.809339,0.110254,0.770609,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
