case_id,root_family_id,condition,failed_items,unsupported_visual_assertion,note
F02_B,F02,V1,scene_specific;order_sensible;scene_ready,0,Recognized that the bowl was on the plate but still made re-grasp and redundant transport the primary path.
F12_B,F12,T,scene_specific;scene_ready,0,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
F07_B,F07,V1,objects_correct;scene_specific;scene_ready,1,Misidentified the brown occluder as the task's blue cube and proposed manipulating the wrong object.
F10_B,F10,V1,scene_specific;order_sensible;scene_ready,0,Observed the cup already in the tray but made moving it to another unspecified slot the primary path.
F08_B,F08,V1,order_sensible;scene_ready,0,Observed the yellow cube inside the box but did not clear it or make clearance a required branch before placement.
F04_B,F04,T,scene_specific;scene_ready,0,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
F03_B,F03,T,scene_specific;scene_ready,0,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
F07_B,F07,T,scene_specific;scene_ready,0,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
F08_B,F08,V2,order_sensible;scene_ready,0,Observed the yellow cube inside the box but still placed the blue cube without an obstacle-removal or validated free-space branch.
F10_B,F10,T,scene_specific;scene_ready,0,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
F02_B,F02,T,scene_specific;scene_ready,0,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
F11_B,F11,T,scene_specific;scene_ready,0,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
F08_B,F08,T,scene_specific;scene_ready,0,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
F06_B,F06,T,scene_specific;scene_ready,0,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
