finding_id,source_file,function,line_range,observed_behavior,known_or_pending,affected_artifacts,minimal_fix,owner_round,status
F02,tools/stage4/build_supervision_dataset.py,source_scan,see source_review.json functions,reward implementation contains clipping or node-conditional components; matched=clip,known_source_evidence,requires U0 classification,record and isolate; do not overwrite archived implementation,u0_01_evidence_registry,observed
F05,tools/stage4/build_supervision_dataset.py,source_scan,see source_review.json functions,"state/input fallback is present and requires data-path review; matched=np.sin,np.cos,tt/t,fallback",known_source_evidence,requires U0 classification,record and isolate; do not overwrite archived implementation,u0_01_evidence_registry,observed
F01,tools/stage4/lib/model.py,source_scan,see source_review.json functions,possible oracle/GT scoring path; method identity must be separated; matched=graph_cost,known_source_evidence,requires U0 classification,record and isolate; do not overwrite archived implementation,u0_01_evidence_registry,observed
F04,tools/stage4/lib/model.py,source_scan,see source_review.json functions,"fixed node-rank prior appears in implementation; matched=rank=,expected_rank",known_source_evidence,requires U0 classification,record and isolate; do not overwrite archived implementation,u0_01_evidence_registry,observed
F02,artifacts/pathgraph_sarm/stage5/reward_v1/code/reward_engine.py,source_scan,see source_review.json functions,"reward implementation contains clipping or node-conditional components; matched=clip,same=,use_loop,failure_debt",known_source_evidence,requires U0 classification,record and isolate; do not overwrite archived implementation,u0_01_evidence_registry,observed
F08,artifacts/pathgraph_sarm/stage5/reward_v1/code/reward_engine.py,source_scan,see source_review.json functions,"event/repeat or transition timing logic requires canonicalization review; matched=edge_history,repeat",known_source_evidence,requires U0 classification,record and isolate; do not overwrite archived implementation,u0_01_evidence_registry,observed
F01,tools/stage8/reproduce_reward_main_table.py,source_scan,see source_review.json functions,"possible oracle/GT scoring path; method identity must be separated; matched=oracle,gt_,graph_cost",known_source_evidence,requires U0 classification,record and isolate; do not overwrite archived implementation,u0_01_evidence_registry,observed
F02,tools/stage8/reproduce_reward_main_table.py,source_scan,see source_review.json functions,"reward implementation contains clipping or node-conditional components; matched=same_node,use_loop,failure_debt",known_source_evidence,requires U0 classification,record and isolate; do not overwrite archived implementation,u0_01_evidence_registry,observed
F03,tools/stage8/reproduce_reward_main_table.py,source_scan,see source_review.json functions,"possible answer/path-conditioned ablation path; matched=path_signature,gt_edge_type",known_source_evidence,requires U0 classification,record and isolate; do not overwrite archived implementation,u0_01_evidence_registry,observed
F06,tools/stage8/reproduce_reward_main_table.py,source_scan,see source_review.json functions,statistics implementation requires tie/group review; matched=spearman,known_source_evidence,requires U0 classification,record and isolate; do not overwrite archived implementation,u0_01_evidence_registry,observed
F08,tools/stage8/reproduce_reward_main_table.py,source_scan,see source_review.json functions,event/repeat or transition timing logic requires canonicalization review; matched=repeat,known_source_evidence,requires U0 classification,record and isolate; do not overwrite archived implementation,u0_01_evidence_registry,observed
F01,tools/stage8/reproduce_core_ablations.py,source_scan,see source_review.json functions,"possible oracle/GT scoring path; method identity must be separated; matched=oracle,gt_",known_source_evidence,requires U0 classification,record and isolate; do not overwrite archived implementation,u0_01_evidence_registry,observed
F02,tools/stage8/reproduce_core_ablations.py,source_scan,see source_review.json functions,"reward implementation contains clipping or node-conditional components; matched=same_node,use_loop,failure_debt",known_source_evidence,requires U0 classification,record and isolate; do not overwrite archived implementation,u0_01_evidence_registry,observed
F03,tools/stage8/reproduce_core_ablations.py,source_scan,see source_review.json functions,possible answer/path-conditioned ablation path; matched=gt_edge_type,known_source_evidence,requires U0 classification,record and isolate; do not overwrite archived implementation,u0_01_evidence_registry,observed
F06,tools/stage8/run_final_group_bootstrap.py,source_scan,see source_review.json functions,statistics implementation requires tie/group review; matched=bootstrap,known_source_evidence,requires U0 classification,record and isolate; do not overwrite archived implementation,u0_01_evidence_registry,observed
F07,tools/stage8/run_final_group_bootstrap.py,source_scan,see source_review.json functions,deterministic/state-machine provenance requires non-independence labeling; matched=deterministic,known_source_evidence,requires U0 classification,record and isolate; do not overwrite archived implementation,u0_01_evidence_registry,observed
F06,tools/stage8/build_primary_hypothesis_table.py,source_scan,see source_review.json functions,statistics implementation requires tie/group review; matched=bootstrap,known_source_evidence,requires U0 classification,record and isolate; do not overwrite archived implementation,u0_01_evidence_registry,observed
F02,tools/stage6/policy_env.py,source_scan,see source_review.json functions,reward implementation contains clipping or node-conditional components; matched=clip,known_source_evidence,requires U0 classification,record and isolate; do not overwrite archived implementation,u0_01_evidence_registry,observed
F03,tools/stage6/policy_env.py,source_scan,see source_review.json functions,possible answer/path-conditioned ablation path; matched=path_signature,known_source_evidence,requires U0 classification,record and isolate; do not overwrite archived implementation,u0_01_evidence_registry,observed
F07,tools/stage6/policy_env.py,source_scan,see source_review.json functions,deterministic/state-machine provenance requires non-independence labeling; matched=deterministic,known_source_evidence,requires U0 classification,record and isolate; do not overwrite archived implementation,u0_01_evidence_registry,observed
