step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.249624,0.049561,0.980863,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
10,0.149526,0.049443,0.977773,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
20,0.011486,0.011471,0.969354,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
30,0.209309,0.109868,0.990179,0.2,0.1,0.84,drop_and_regrasp,scripted_oracle
40,0.409612,0.209021,1.009385,0.4,0.2,0.86,drop_and_regrasp,scripted_oracle
50,0.610024,0.308557,1.029751,0.6,0.3,0.88,drop_and_regrasp,scripted_oracle
60,0.301311,0.201249,0.901972,0.8,0.1,0.55,drop_and_regrasp,scripted_oracle
70,0.80951,0.110183,0.66844,0.8,0.1,0.55,drop_and_regrasp,scripted_oracle
80,0.609178,0.109687,0.720597,0.6,0.1,0.6,drop_and_regrasp,scripted_oracle
90,0.810206,0.111117,0.771839,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
100,0.810326,0.108878,0.770515,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
110,0.811771,0.109031,0.770037,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
