step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.25079,0.048895,0.980823,0.0,0.0,0.82,natural_success,scripted_oracle
10,0.148853,0.051968,0.980447,0.0,0.0,0.82,natural_success,scripted_oracle
20,0.009691,0.009376,0.971398,0.0,0.0,0.82,natural_success,scripted_oracle
30,0.212213,0.110725,0.987569,0.2,0.1,0.84,natural_success,scripted_oracle
40,0.410967,0.211897,1.010876,0.4,0.2,0.86,natural_success,scripted_oracle
50,0.611396,0.309847,1.030649,0.6,0.3,0.88,natural_success,scripted_oracle
60,0.810345,0.107819,0.771693,0.8,0.1,0.65,natural_success,scripted_oracle
70,0.811192,0.109921,0.769833,0.8,0.1,0.65,natural_success,scripted_oracle
80,0.812022,0.111673,0.767919,0.8,0.1,0.65,natural_success,scripted_oracle
90,0.809651,0.110398,0.770089,0.8,0.1,0.65,natural_success,scripted_oracle
100,0.809802,0.111211,0.770478,0.8,0.1,0.65,natural_success,scripted_oracle
110,0.811233,0.110288,0.76899,0.8,0.1,0.65,natural_success,scripted_oracle
