segment_id,episode_id,task_id,failure_onset_step,recovery_start_step,recovery_complete_step,pre_failure_node,failed_node,restored_node,segment_start_step,segment_end_step,content_group_id,analysis_weight,evaluation_split
rec_transport_recovery__0032_0,transport_recovery__0032,transport_recovery,58,68,88,in_transit,dropped_or_misaligned,grasped,53,93,4e516f7adbc1caf4,1.0,train
rec_transport_recovery__0033_0,transport_recovery__0033,transport_recovery,58,68,88,in_transit,dropped_or_misaligned,grasped,53,93,3afa7da94745e8f1,1.0,train
rec_transport_recovery__0034_0,transport_recovery__0034,transport_recovery,58,68,88,in_transit,dropped_or_misaligned,grasped,53,93,f1c8046f1b6a2c1b,1.0,train
rec_transport_recovery__0035_0,transport_recovery__0035,transport_recovery,58,68,88,in_transit,dropped_or_misaligned,grasped,53,93,e791ac4366f97411,1.0,train
rec_transport_recovery__0036_0,transport_recovery__0036,transport_recovery,58,68,88,in_transit,dropped_or_misaligned,grasped,53,93,bbb1ed0f57d5ec0e,1.0,train
rec_transport_recovery__0037_0,transport_recovery__0037,transport_recovery,58,68,88,in_transit,dropped_or_misaligned,grasped,53,93,aaae8989a1dd22e7,1.0,train
rec_transport_recovery__0038_0,transport_recovery__0038,transport_recovery,58,68,88,in_transit,dropped_or_misaligned,grasped,53,93,a2cd4b3d58f24944,1.0,train
rec_transport_recovery__0039_0,transport_recovery__0039,transport_recovery,58,68,88,in_transit,dropped_or_misaligned,grasped,53,93,525f9856781928c8,1.0,test
rec_transport_recovery__0040_0,transport_recovery__0040,transport_recovery,58,68,88,in_transit,dropped_or_misaligned,grasped,53,93,68f32b646050f4d7,1.0,val
rec_transport_recovery__0041_0,transport_recovery__0041,transport_recovery,58,68,88,in_transit,dropped_or_misaligned,grasped,53,93,5f82d437c75fed69,1.0,test
rec_transport_recovery__0042_0,transport_recovery__0042,transport_recovery,58,68,88,in_transit,dropped_or_misaligned,grasped,53,93,c3f1e2e32d43989b,1.0,test
rec_transport_recovery__0043_0,transport_recovery__0043,transport_recovery,58,68,88,in_transit,dropped_or_misaligned,grasped,53,93,03a5fc551f7a2c97,1.0,train
rec_transport_recovery__0044_0,transport_recovery__0044,transport_recovery,58,68,88,in_transit,dropped_or_misaligned,grasped,53,93,fb7ffa8d97e3523c,1.0,train
rec_transport_recovery__0045_0,transport_recovery__0045,transport_recovery,58,68,88,in_transit,dropped_or_misaligned,grasped,53,93,17cea51db8405b35,1.0,test
rec_transport_recovery__0046_0,transport_recovery__0046,transport_recovery,58,68,88,in_transit,dropped_or_misaligned,grasped,53,93,624940d72e6064eb,1.0,train
rec_transport_recovery__0047_0,transport_recovery__0047,transport_recovery,58,68,88,in_transit,dropped_or_misaligned,grasped,53,93,fb106d73c0342444,1.0,val
rec_transport_recovery__0048_0,transport_recovery__0048,transport_recovery,58,68,88,in_transit,dropped_or_misaligned,grasped,53,93,3e7017a7401b7846,1.0,train
rec_transport_recovery__0049_0,transport_recovery__0049,transport_recovery,58,68,88,in_transit,dropped_or_misaligned,grasped,53,93,44a27458c265bba1,1.0,val
rec_transport_recovery__0050_0,transport_recovery__0050,transport_recovery,58,68,88,in_transit,dropped_or_misaligned,grasped,53,93,fbee41a141635376,1.0,train
rec_transport_recovery__0051_0,transport_recovery__0051,transport_recovery,58,68,88,in_transit,dropped_or_misaligned,grasped,53,93,0922eee6e0d2de3f,1.0,val
