step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.249262,0.048031,0.979975,0.0,0.0,0.82,natural_success,scripted_oracle
10,0.149488,0.049535,0.97946,0.0,0.0,0.82,natural_success,scripted_oracle
20,0.009364,0.008851,0.970454,0.0,0.0,0.82,natural_success,scripted_oracle
30,0.211321,0.10988,0.990384,0.2,0.1,0.84,natural_success,scripted_oracle
40,0.411414,0.210452,1.011028,0.4,0.2,0.86,natural_success,scripted_oracle
50,0.610284,0.311106,1.030346,0.6,0.3,0.88,natural_success,scripted_oracle
60,0.81117,0.108867,0.76955,0.8,0.1,0.65,natural_success,scripted_oracle
70,0.808854,0.111087,0.76952,0.8,0.1,0.65,natural_success,scripted_oracle
80,0.809595,0.110235,0.770131,0.8,0.1,0.65,natural_success,scripted_oracle
90,0.809853,0.110818,0.769931,0.8,0.1,0.65,natural_success,scripted_oracle
100,0.810298,0.110245,0.768964,0.8,0.1,0.65,natural_success,scripted_oracle
110,0.808805,0.110872,0.76866,0.8,0.1,0.65,natural_success,scripted_oracle
