step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.249007,0.049579,0.980281,0.0,0.0,0.82,natural_success,scripted_oracle
10,0.150725,0.049417,0.980933,0.0,0.0,0.82,natural_success,scripted_oracle
20,0.010478,0.010717,0.969773,0.0,0.0,0.82,natural_success,scripted_oracle
30,0.209217,0.107704,0.990177,0.2,0.1,0.84,natural_success,scripted_oracle
40,0.409933,0.209532,1.010004,0.4,0.2,0.86,natural_success,scripted_oracle
50,0.609598,0.31022,1.030902,0.6,0.3,0.88,natural_success,scripted_oracle
60,0.810124,0.109318,0.770496,0.8,0.1,0.65,natural_success,scripted_oracle
70,0.809428,0.108875,0.769849,0.8,0.1,0.65,natural_success,scripted_oracle
80,0.809781,0.108514,0.772204,0.8,0.1,0.65,natural_success,scripted_oracle
90,0.810653,0.108357,0.770255,0.8,0.1,0.65,natural_success,scripted_oracle
100,0.810315,0.11022,0.770429,0.8,0.1,0.65,natural_success,scripted_oracle
110,0.808954,0.110161,0.770903,0.8,0.1,0.65,natural_success,scripted_oracle
