step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.249162,0.049892,0.978939,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
10,0.148925,0.048522,0.979699,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
20,0.008073,0.011278,0.969996,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
30,0.21199,0.111503,0.990507,0.2,0.1,0.84,drop_and_regrasp,scripted_oracle
40,0.41112,0.209565,1.011189,0.4,0.2,0.86,drop_and_regrasp,scripted_oracle
50,0.609625,0.311221,1.027638,0.6,0.3,0.88,drop_and_regrasp,scripted_oracle
60,0.300896,0.198947,0.896817,0.8,0.1,0.55,drop_and_regrasp,scripted_oracle
70,0.809257,0.109593,0.668497,0.8,0.1,0.55,drop_and_regrasp,scripted_oracle
80,0.610439,0.108519,0.71955,0.6,0.1,0.6,drop_and_regrasp,scripted_oracle
90,0.810874,0.111441,0.769756,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
100,0.809433,0.11087,0.770681,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
110,0.81128,0.107947,0.770315,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
