step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.251027,0.049895,0.982132,0.0,0.0,0.82,terminal_failure,scripted_oracle
10,0.150588,0.048105,0.97856,0.0,0.0,0.82,terminal_failure,scripted_oracle
20,0.011257,0.009323,0.969627,0.0,0.0,0.82,terminal_failure,scripted_oracle
30,0.21215,0.109949,0.988256,0.2,0.1,0.84,terminal_failure,scripted_oracle
40,0.409463,0.210663,1.010533,0.4,0.2,0.86,terminal_failure,scripted_oracle
50,0.608527,0.310382,1.030343,0.6,0.3,0.88,terminal_failure,scripted_oracle
60,0.809473,0.111272,0.770235,0.8,0.1,0.65,terminal_failure,scripted_oracle
70,0.808973,0.111047,0.769887,0.8,0.1,0.65,terminal_failure,scripted_oracle
80,0.810095,0.109487,0.769855,0.8,0.1,0.65,terminal_failure,scripted_oracle
90,0.807385,0.11007,0.771897,0.8,0.1,0.65,terminal_failure,scripted_oracle
100,0.80963,0.109897,0.768737,0.8,0.1,0.65,terminal_failure,scripted_oracle
110,0.811273,0.11096,0.768578,0.8,0.1,0.65,terminal_failure,scripted_oracle
