step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.250845,0.049787,0.980032,0.0,0.0,0.82,gripper_reopen,scripted_oracle
10,0.150522,0.048862,0.979684,0.0,0.0,0.82,gripper_reopen,scripted_oracle
20,0.009542,0.009985,0.970487,0.0,0.0,0.82,gripper_reopen,scripted_oracle
30,0.210908,0.109993,0.989684,0.2,0.1,0.84,gripper_reopen,scripted_oracle
40,0.413218,0.211372,1.009341,0.4,0.2,0.86,gripper_reopen,scripted_oracle
50,0.61047,0.308447,1.030045,0.6,0.3,0.88,gripper_reopen,scripted_oracle
60,0.301069,0.198895,0.899233,0.8,0.1,0.55,gripper_reopen,scripted_oracle
70,0.810368,0.110479,0.670554,0.8,0.1,0.55,gripper_reopen,scripted_oracle
80,0.609085,0.111214,0.719118,0.6,0.1,0.6,gripper_reopen,scripted_oracle
90,0.809044,0.108946,0.770442,0.8,0.1,0.65,gripper_reopen,scripted_oracle
100,0.808597,0.108951,0.770062,0.8,0.1,0.65,gripper_reopen,scripted_oracle
110,0.809013,0.110862,0.768406,0.8,0.1,0.65,gripper_reopen,scripted_oracle
