episode_id,method,old,repro,abs_diff
P1V5_F00_920000__D1_A_then_B_clean_success,SPARSE_TERMINAL,1.0,1.0,0.0
P1V5_F00_920000__D1_A_then_B_clean_success,LINEAR_A_FIRST,1.0,1.0,0.0
P1V5_F00_920000__D1_A_then_B_clean_success,LINEAR_B_FIRST,1.0,1.0,0.0
P1V5_F00_920000__D1_A_then_B_clean_success,UNORDERED_COMPLETION_PROGRESS,1.0,1.0,0.0
P1V5_F00_920000__D1_A_then_B_clean_success,GRAPH_COST_ONLY,0.75,0.75,0.0
P1V5_F00_920000__D1_A_then_B_clean_success,GRAPH_COST_PHI,0.75,0.75,0.0
P1V5_F00_920000__D1_A_then_B_clean_success,GRAPH_COST_DEBT,0.75,0.75,0.0
P1V5_F00_920000__D1_A_then_B_clean_success,FULL_FROZEN,0.75,0.75,0.0
P1V5_F00_920000__D1_A_then_B_clean_success,NO_RECOVERY_CREDIT,0.75,0.75,0.0
P1V5_F00_920000__D1_A_then_B_clean_success,PAIRED_EVENT_BALANCED_V1,0.0,0.0,0.0
P1V5_F00_920000__D1_A_then_B_clean_success,GLOBAL_POTENTIAL_AUDIT_V1,0.75,0.75,0.0
P1V5_F00_920000__D2_B_then_A_clean_success,SPARSE_TERMINAL,1.0,1.0,0.0
P1V5_F00_920000__D2_B_then_A_clean_success,LINEAR_A_FIRST,1.0,1.0,0.0
P1V5_F00_920000__D2_B_then_A_clean_success,LINEAR_B_FIRST,1.0,1.0,0.0
P1V5_F00_920000__D2_B_then_A_clean_success,UNORDERED_COMPLETION_PROGRESS,1.0,1.0,0.0
P1V5_F00_920000__D2_B_then_A_clean_success,GRAPH_COST_ONLY,0.75,0.75,0.0
P1V5_F00_920000__D2_B_then_A_clean_success,GRAPH_COST_PHI,0.75,0.75,0.0
P1V5_F00_920000__D2_B_then_A_clean_success,GRAPH_COST_DEBT,0.75,0.75,0.0
P1V5_F00_920000__D2_B_then_A_clean_success,FULL_FROZEN,0.75,0.75,0.0
P1V5_F00_920000__D2_B_then_A_clean_success,NO_RECOVERY_CREDIT,0.75,0.75,0.0
P1V5_F00_920000__D2_B_then_A_clean_success,PAIRED_EVENT_BALANCED_V1,0.0,0.0,0.0
P1V5_F00_920000__D2_B_then_A_clean_success,GLOBAL_POTENTIAL_AUDIT_V1,0.75,0.75,0.0
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,SPARSE_TERMINAL,1.0,1.0,0.0
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,LINEAR_A_FIRST,1.0,1.0,0.0
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,LINEAR_B_FIRST,1.0,1.0,0.0
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,UNORDERED_COMPLETION_PROGRESS,1.0,1.0,0.0
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,GRAPH_COST_ONLY,0.75,0.75,0.0
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,GRAPH_COST_PHI,0.75,0.75,0.0
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,GRAPH_COST_DEBT,0.75,0.75,0.0
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,FULL_FROZEN,0.75,0.75,0.0
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,NO_RECOVERY_CREDIT,0.75,0.75,0.0
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,PAIRED_EVENT_BALANCED_V1,0.0,0.0,0.0
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,GLOBAL_POTENTIAL_AUDIT_V1,0.75,0.75,0.0
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,SPARSE_TERMINAL,1.0,1.0,0.0
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,LINEAR_A_FIRST,1.0,1.0,0.0
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,LINEAR_B_FIRST,1.0,1.0,0.0
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,UNORDERED_COMPLETION_PROGRESS,1.0,1.0,0.0
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,GRAPH_COST_ONLY,0.75,0.75,0.0
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,GRAPH_COST_PHI,0.75,0.75,0.0
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,GRAPH_COST_DEBT,0.75,0.75,0.0
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,FULL_FROZEN,0.75,0.75,0.0
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,NO_RECOVERY_CREDIT,0.75,0.75,0.0
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,PAIRED_EVENT_BALANCED_V1,0.0,0.0,0.0
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,GLOBAL_POTENTIAL_AUDIT_V1,0.75,0.75,0.0
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,SPARSE_TERMINAL,1.0,1.0,0.0
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,LINEAR_A_FIRST,1.0,1.0,0.0
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,LINEAR_B_FIRST,1.0,1.0,0.0
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,UNORDERED_COMPLETION_PROGRESS,1.0,1.0,0.0
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,GRAPH_COST_ONLY,0.75,0.75,0.0
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,GRAPH_COST_PHI,0.75,0.75,0.0
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,GRAPH_COST_DEBT,0.75,0.75,0.0
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,FULL_FROZEN,0.75,0.75,0.0
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,NO_RECOVERY_CREDIT,0.75,0.75,0.0
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,PAIRED_EVENT_BALANCED_V1,0.0,0.0,0.0
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,GLOBAL_POTENTIAL_AUDIT_V1,0.75,0.75,0.0
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,SPARSE_TERMINAL,0.0,0.0,0.0
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,LINEAR_A_FIRST,0.3333333333333333,0.3333333333333333,0.0
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,LINEAR_B_FIRST,0.3333333333333333,0.3333333333333333,0.0
