step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.249512,0.048731,0.980129,0.0,0.0,0.82,gripper_reopen,scripted_oracle
10,0.15065,0.049671,0.97909,0.0,0.0,0.82,gripper_reopen,scripted_oracle
20,0.008661,0.009515,0.96879,0.0,0.0,0.82,gripper_reopen,scripted_oracle
30,0.210151,0.110711,0.989811,0.2,0.1,0.84,gripper_reopen,scripted_oracle
40,0.409068,0.210742,1.010966,0.4,0.2,0.86,gripper_reopen,scripted_oracle
50,0.608593,0.310913,1.028911,0.6,0.3,0.88,gripper_reopen,scripted_oracle
60,0.300426,0.200802,0.90089,0.8,0.1,0.55,gripper_reopen,scripted_oracle
70,0.807351,0.110425,0.670916,0.8,0.1,0.55,gripper_reopen,scripted_oracle
80,0.609128,0.109776,0.720438,0.6,0.1,0.6,gripper_reopen,scripted_oracle
90,0.80976,0.110395,0.769848,0.8,0.1,0.65,gripper_reopen,scripted_oracle
100,0.809734,0.10974,0.768726,0.8,0.1,0.65,gripper_reopen,scripted_oracle
110,0.809551,0.111612,0.770592,0.8,0.1,0.65,gripper_reopen,scripted_oracle
