denominator,f1,graph_id,precision,recall,semantic
33,,G1_single_label_v2,,0.0,failure_event
33,0.4,G1_single_label_v2,0.3269230769230769,0.5151515151515151,recovery_attempt
30,,G1_single_label_v2,0.0,0.0,recovery_achieved
24,,G1_single_label_v2,,0.0,terminal_failure
117,,G1_single_label_v2,,0.0,terminal_success
261,0.6842105263157894,G1_single_label_v2,0.5994236311239193,0.7969348659003831,progress
60,0.6956521739130435,G1_single_label_v2,0.6153846153846154,0.8,alternative
3,,G1_single_label_v2,,0.0,dwell
33,,G3_guard_rule_multigraph,,0.0,failure_event
33,0.40740740740740733,G3_guard_rule_multigraph,0.5238095238095238,0.3333333333333333,recovery_attempt
30,,G3_guard_rule_multigraph,,0.0,recovery_achieved
24,,G3_guard_rule_multigraph,,0.0,terminal_failure
117,,G3_guard_rule_multigraph,,0.0,terminal_success
261,0.6842105263157894,G3_guard_rule_multigraph,0.5994236311239193,0.7969348659003831,progress
60,0.6906474820143885,G3_guard_rule_multigraph,0.6075949367088608,0.8,alternative
3,,G3_guard_rule_multigraph,,0.0,dwell
