step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.248891,0.049779,0.97938,0.0,0.0,0.82,terminal_failure,scripted_oracle
10,0.151383,0.052763,0.980238,0.0,0.0,0.82,terminal_failure,scripted_oracle
20,0.010081,0.009679,0.971522,0.0,0.0,0.82,terminal_failure,scripted_oracle
30,0.210928,0.10977,0.988858,0.2,0.1,0.84,terminal_failure,scripted_oracle
40,0.409577,0.210012,1.010519,0.4,0.2,0.86,terminal_failure,scripted_oracle
50,0.610279,0.310705,1.031714,0.6,0.3,0.88,terminal_failure,scripted_oracle
60,0.808876,0.108948,0.769039,0.8,0.1,0.65,terminal_failure,scripted_oracle
70,0.811641,0.109812,0.771319,0.8,0.1,0.65,terminal_failure,scripted_oracle
80,0.810587,0.10978,0.770561,0.8,0.1,0.65,terminal_failure,scripted_oracle
90,0.810606,0.109404,0.769991,0.8,0.1,0.65,terminal_failure,scripted_oracle
100,0.809809,0.110669,0.769915,0.8,0.1,0.65,terminal_failure,scripted_oracle
110,0.811638,0.109789,0.769434,0.8,0.1,0.65,terminal_failure,scripted_oracle
