setting_id,legal_path_count,recovery_repeat_count,length_multiplier,stress_seed,success_traces,failure_recovery_traces,stagnation_illegal_loop_traces,provenance
paths1_recovery0_length1_s20261101,1,0,1,20261101,20,20,10,controlled_symbolic_stress
paths1_recovery0_length1_s20261102,1,0,1,20261102,20,20,10,controlled_symbolic_stress
paths1_recovery0_length1_s20261103,1,0,1,20261103,20,20,10,controlled_symbolic_stress
paths1_recovery0_length2_s20261101,1,0,2,20261101,20,20,10,controlled_symbolic_stress
paths1_recovery0_length2_s20261102,1,0,2,20261102,20,20,10,controlled_symbolic_stress
paths1_recovery0_length2_s20261103,1,0,2,20261103,20,20,10,controlled_symbolic_stress
paths1_recovery0_length4_s20261101,1,0,4,20261101,20,20,10,controlled_symbolic_stress
paths1_recovery0_length4_s20261102,1,0,4,20261102,20,20,10,controlled_symbolic_stress
paths1_recovery0_length4_s20261103,1,0,4,20261103,20,20,10,controlled_symbolic_stress
paths1_recovery1_length1_s20261101,1,1,1,20261101,20,20,10,controlled_symbolic_stress
paths1_recovery1_length1_s20261102,1,1,1,20261102,20,20,10,controlled_symbolic_stress
paths1_recovery1_length1_s20261103,1,1,1,20261103,20,20,10,controlled_symbolic_stress
paths1_recovery1_length2_s20261101,1,1,2,20261101,20,20,10,controlled_symbolic_stress
paths1_recovery1_length2_s20261102,1,1,2,20261102,20,20,10,controlled_symbolic_stress
paths1_recovery1_length2_s20261103,1,1,2,20261103,20,20,10,controlled_symbolic_stress
paths1_recovery1_length4_s20261101,1,1,4,20261101,20,20,10,controlled_symbolic_stress
paths1_recovery1_length4_s20261102,1,1,4,20261102,20,20,10,controlled_symbolic_stress
paths1_recovery1_length4_s20261103,1,1,4,20261103,20,20,10,controlled_symbolic_stress
paths1_recovery2_length1_s20261101,1,2,1,20261101,20,20,10,controlled_symbolic_stress
paths1_recovery2_length1_s20261102,1,2,1,20261102,20,20,10,controlled_symbolic_stress
paths1_recovery2_length1_s20261103,1,2,1,20261103,20,20,10,controlled_symbolic_stress
paths1_recovery2_length2_s20261101,1,2,2,20261101,20,20,10,controlled_symbolic_stress
paths1_recovery2_length2_s20261102,1,2,2,20261102,20,20,10,controlled_symbolic_stress
paths1_recovery2_length2_s20261103,1,2,2,20261103,20,20,10,controlled_symbolic_stress
paths1_recovery2_length4_s20261101,1,2,4,20261101,20,20,10,controlled_symbolic_stress
paths1_recovery2_length4_s20261102,1,2,4,20261102,20,20,10,controlled_symbolic_stress
paths1_recovery2_length4_s20261103,1,2,4,20261103,20,20,10,controlled_symbolic_stress
paths1_recovery4_length1_s20261101,1,4,1,20261101,20,20,10,controlled_symbolic_stress
paths1_recovery4_length1_s20261102,1,4,1,20261102,20,20,10,controlled_symbolic_stress
paths1_recovery4_length1_s20261103,1,4,1,20261103,20,20,10,controlled_symbolic_stress
paths1_recovery4_length2_s20261101,1,4,2,20261101,20,20,10,controlled_symbolic_stress
paths1_recovery4_length2_s20261102,1,4,2,20261102,20,20,10,controlled_symbolic_stress
paths1_recovery4_length2_s20261103,1,4,2,20261103,20,20,10,controlled_symbolic_stress
paths1_recovery4_length4_s20261101,1,4,4,20261101,20,20,10,controlled_symbolic_stress
paths1_recovery4_length4_s20261102,1,4,4,20261102,20,20,10,controlled_symbolic_stress
paths1_recovery4_length4_s20261103,1,4,4,20261103,20,20,10,controlled_symbolic_stress
paths2_recovery0_length1_s20261101,2,0,1,20261101,20,20,10,controlled_symbolic_stress
paths2_recovery0_length1_s20261102,2,0,1,20261102,20,20,10,controlled_symbolic_stress
paths2_recovery0_length1_s20261103,2,0,1,20261103,20,20,10,controlled_symbolic_stress
paths2_recovery0_length2_s20261101,2,0,2,20261101,20,20,10,controlled_symbolic_stress
paths2_recovery0_length2_s20261102,2,0,2,20261102,20,20,10,controlled_symbolic_stress
paths2_recovery0_length2_s20261103,2,0,2,20261103,20,20,10,controlled_symbolic_stress
paths2_recovery0_length4_s20261101,2,0,4,20261101,20,20,10,controlled_symbolic_stress
paths2_recovery0_length4_s20261102,2,0,4,20261102,20,20,10,controlled_symbolic_stress
paths2_recovery0_length4_s20261103,2,0,4,20261103,20,20,10,controlled_symbolic_stress
paths2_recovery1_length1_s20261101,2,1,1,20261101,20,20,10,controlled_symbolic_stress
paths2_recovery1_length1_s20261102,2,1,1,20261102,20,20,10,controlled_symbolic_stress
paths2_recovery1_length1_s20261103,2,1,1,20261103,20,20,10,controlled_symbolic_stress
paths2_recovery1_length2_s20261101,2,1,2,20261101,20,20,10,controlled_symbolic_stress
paths2_recovery1_length2_s20261102,2,1,2,20261102,20,20,10,controlled_symbolic_stress
paths2_recovery1_length2_s20261103,2,1,2,20261103,20,20,10,controlled_symbolic_stress
paths2_recovery1_length4_s20261101,2,1,4,20261101,20,20,10,controlled_symbolic_stress
paths2_recovery1_length4_s20261102,2,1,4,20261102,20,20,10,controlled_symbolic_stress
paths2_recovery1_length4_s20261103,2,1,4,20261103,20,20,10,controlled_symbolic_stress
paths2_recovery2_length1_s20261101,2,2,1,20261101,20,20,10,controlled_symbolic_stress
paths2_recovery2_length1_s20261102,2,2,1,20261102,20,20,10,controlled_symbolic_stress
paths2_recovery2_length1_s20261103,2,2,1,20261103,20,20,10,controlled_symbolic_stress
paths2_recovery2_length2_s20261101,2,2,2,20261101,20,20,10,controlled_symbolic_stress
paths2_recovery2_length2_s20261102,2,2,2,20261102,20,20,10,controlled_symbolic_stress
paths2_recovery2_length2_s20261103,2,2,2,20261103,20,20,10,controlled_symbolic_stress
paths2_recovery2_length4_s20261101,2,2,4,20261101,20,20,10,controlled_symbolic_stress
paths2_recovery2_length4_s20261102,2,2,4,20261102,20,20,10,controlled_symbolic_stress
paths2_recovery2_length4_s20261103,2,2,4,20261103,20,20,10,controlled_symbolic_stress
paths2_recovery4_length1_s20261101,2,4,1,20261101,20,20,10,controlled_symbolic_stress
paths2_recovery4_length1_s20261102,2,4,1,20261102,20,20,10,controlled_symbolic_stress
paths2_recovery4_length1_s20261103,2,4,1,20261103,20,20,10,controlled_symbolic_stress
paths2_recovery4_length2_s20261101,2,4,2,20261101,20,20,10,controlled_symbolic_stress
paths2_recovery4_length2_s20261102,2,4,2,20261102,20,20,10,controlled_symbolic_stress
paths2_recovery4_length2_s20261103,2,4,2,20261103,20,20,10,controlled_symbolic_stress
paths2_recovery4_length4_s20261101,2,4,4,20261101,20,20,10,controlled_symbolic_stress
paths2_recovery4_length4_s20261102,2,4,4,20261102,20,20,10,controlled_symbolic_stress
paths2_recovery4_length4_s20261103,2,4,4,20261103,20,20,10,controlled_symbolic_stress
paths4_recovery0_length1_s20261101,4,0,1,20261101,20,20,10,controlled_symbolic_stress
paths4_recovery0_length1_s20261102,4,0,1,20261102,20,20,10,controlled_symbolic_stress
paths4_recovery0_length1_s20261103,4,0,1,20261103,20,20,10,controlled_symbolic_stress
paths4_recovery0_length2_s20261101,4,0,2,20261101,20,20,10,controlled_symbolic_stress
paths4_recovery0_length2_s20261102,4,0,2,20261102,20,20,10,controlled_symbolic_stress
paths4_recovery0_length2_s20261103,4,0,2,20261103,20,20,10,controlled_symbolic_stress
paths4_recovery0_length4_s20261101,4,0,4,20261101,20,20,10,controlled_symbolic_stress
paths4_recovery0_length4_s20261102,4,0,4,20261102,20,20,10,controlled_symbolic_stress
paths4_recovery0_length4_s20261103,4,0,4,20261103,20,20,10,controlled_symbolic_stress
paths4_recovery1_length1_s20261101,4,1,1,20261101,20,20,10,controlled_symbolic_stress
paths4_recovery1_length1_s20261102,4,1,1,20261102,20,20,10,controlled_symbolic_stress
paths4_recovery1_length1_s20261103,4,1,1,20261103,20,20,10,controlled_symbolic_stress
paths4_recovery1_length2_s20261101,4,1,2,20261101,20,20,10,controlled_symbolic_stress
paths4_recovery1_length2_s20261102,4,1,2,20261102,20,20,10,controlled_symbolic_stress
paths4_recovery1_length2_s20261103,4,1,2,20261103,20,20,10,controlled_symbolic_stress
