step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.251607,0.050242,0.981392,0.0,0.0,0.82,terminal_failure,scripted_oracle
10,0.150608,0.049296,0.981946,0.0,0.0,0.82,terminal_failure,scripted_oracle
20,0.009418,0.010194,0.969431,0.0,0.0,0.82,terminal_failure,scripted_oracle
30,0.211783,0.109983,0.991207,0.2,0.1,0.84,terminal_failure,scripted_oracle
40,0.409223,0.211184,1.010264,0.4,0.2,0.86,terminal_failure,scripted_oracle
50,0.609929,0.311134,1.028517,0.6,0.3,0.88,terminal_failure,scripted_oracle
60,0.811878,0.110629,0.771167,0.8,0.1,0.65,terminal_failure,scripted_oracle
70,0.810522,0.109191,0.770763,0.8,0.1,0.65,terminal_failure,scripted_oracle
80,0.810432,0.110007,0.771252,0.8,0.1,0.65,terminal_failure,scripted_oracle
90,0.811166,0.108573,0.769747,0.8,0.1,0.65,terminal_failure,scripted_oracle
100,0.810649,0.110322,0.769483,0.8,0.1,0.65,terminal_failure,scripted_oracle
110,0.807693,0.110166,0.770939,0.8,0.1,0.65,terminal_failure,scripted_oracle
