step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.249295,0.051643,0.980964,0.0,0.0,0.82,gripper_reopen,scripted_oracle
10,0.148572,0.050001,0.981162,0.0,0.0,0.82,gripper_reopen,scripted_oracle
20,0.010236,0.0105,0.969315,0.0,0.0,0.82,gripper_reopen,scripted_oracle
30,0.209416,0.11035,0.990935,0.2,0.1,0.84,gripper_reopen,scripted_oracle
40,0.410502,0.20872,1.009384,0.4,0.2,0.86,gripper_reopen,scripted_oracle
50,0.610677,0.310739,1.03168,0.6,0.3,0.88,gripper_reopen,scripted_oracle
60,0.299995,0.199663,0.900772,0.8,0.1,0.55,gripper_reopen,scripted_oracle
70,0.810366,0.110403,0.669393,0.8,0.1,0.55,gripper_reopen,scripted_oracle
80,0.609604,0.110658,0.719535,0.6,0.1,0.6,gripper_reopen,scripted_oracle
90,0.807809,0.10972,0.769777,0.8,0.1,0.65,gripper_reopen,scripted_oracle
100,0.809648,0.109719,0.768246,0.8,0.1,0.65,gripper_reopen,scripted_oracle
110,0.809664,0.109241,0.769849,0.8,0.1,0.65,gripper_reopen,scripted_oracle
