step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.250431,0.052732,0.979854,0.0,0.0,0.82,natural_success,scripted_oracle
10,0.150059,0.05117,0.979988,0.0,0.0,0.82,natural_success,scripted_oracle
20,0.009647,0.009951,0.96925,0.0,0.0,0.82,natural_success,scripted_oracle
30,0.21209,0.111083,0.989557,0.2,0.1,0.84,natural_success,scripted_oracle
40,0.408984,0.209876,1.010589,0.4,0.2,0.86,natural_success,scripted_oracle
50,0.609994,0.310715,1.029399,0.6,0.3,0.88,natural_success,scripted_oracle
60,0.808731,0.109298,0.770532,0.8,0.1,0.65,natural_success,scripted_oracle
70,0.809278,0.108946,0.770479,0.8,0.1,0.65,natural_success,scripted_oracle
80,0.810457,0.111775,0.76931,0.8,0.1,0.65,natural_success,scripted_oracle
90,0.809446,0.109319,0.770134,0.8,0.1,0.65,natural_success,scripted_oracle
100,0.811613,0.111361,0.770374,0.8,0.1,0.65,natural_success,scripted_oracle
110,0.811149,0.111127,0.770339,0.8,0.1,0.65,natural_success,scripted_oracle
