step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.248828,0.05009,0.979489,0.0,0.0,0.82,natural_success,scripted_oracle
10,0.151036,0.051768,0.978898,0.0,0.0,0.82,natural_success,scripted_oracle
20,0.0087,0.00924,0.971697,0.0,0.0,0.82,natural_success,scripted_oracle
30,0.209854,0.10963,0.992971,0.2,0.1,0.84,natural_success,scripted_oracle
40,0.409412,0.211056,1.009827,0.4,0.2,0.86,natural_success,scripted_oracle
50,0.610096,0.310924,1.030913,0.6,0.3,0.88,natural_success,scripted_oracle
60,0.80769,0.109538,0.771127,0.8,0.1,0.65,natural_success,scripted_oracle
70,0.81007,0.111074,0.771498,0.8,0.1,0.65,natural_success,scripted_oracle
80,0.808987,0.110287,0.772295,0.8,0.1,0.65,natural_success,scripted_oracle
90,0.809757,0.109515,0.771668,0.8,0.1,0.65,natural_success,scripted_oracle
100,0.810962,0.109399,0.77047,0.8,0.1,0.65,natural_success,scripted_oracle
110,0.808384,0.109452,0.770284,0.8,0.1,0.65,natural_success,scripted_oracle
