planned_id,stage,task,method,seed,N_cap,updates_cap,status,actual_run_id,control_reference
v11_1A_D0_B2_s0,1A,D0,B2,0,16384,16,NOT_STARTED,,
v11_1A_D0_Full_s0,1A,D0,Full,0,16384,16,NOT_STARTED,,
v11_2A_T_B_B0_s0,2A,T_B,B0,0,65536,64,NOT_STARTED,,
v11_2A_T_B_B1-K_s0,2A,T_B,B1-K,0,65536,64,NOT_STARTED,,
v11_2A_T_B_B2_s0,2A,T_B,B2,0,65536,64,NOT_STARTED,,
v11_2A_T_B_Full_s0,2A,T_B,Full,0,65536,64,NOT_STARTED,,
v11_2A_T_C_B0_s0,2A,T_C,B0,0,65536,64,NOT_STARTED,,
v11_2A_T_C_B1-K_s0,2A,T_C,B1-K,0,65536,64,NOT_STARTED,,
v11_2A_T_C_B2_s0,2A,T_C,B2,0,65536,64,NOT_STARTED,,
v11_2A_T_C_Full_s0,2A,T_C,Full,0,65536,64,NOT_STARTED,,
v11_3A_T_C_A_CAT_s0,3A,T_C,A_CAT,0,65536,64,NOT_STARTED,,v11_2A_T_C_Full_s0
v11_2B_T_B_B0_s1,2B,T_B,B0,1,65536,64,NOT_STARTED,,
v11_2B_T_B_B0_s2,2B,T_B,B0,2,65536,64,NOT_STARTED,,
v11_2B_T_B_B1-K_s1,2B,T_B,B1-K,1,65536,64,NOT_STARTED,,
v11_2B_T_B_B1-K_s2,2B,T_B,B1-K,2,65536,64,NOT_STARTED,,
v11_2B_T_B_B2_s1,2B,T_B,B2,1,65536,64,NOT_STARTED,,
v11_2B_T_B_B2_s2,2B,T_B,B2,2,65536,64,NOT_STARTED,,
v11_2B_T_B_Full_s1,2B,T_B,Full,1,65536,64,NOT_STARTED,,
v11_2B_T_B_Full_s2,2B,T_B,Full,2,65536,64,NOT_STARTED,,
v11_2B_T_C_B0_s1,2B,T_C,B0,1,65536,64,NOT_STARTED,,
v11_2B_T_C_B0_s2,2B,T_C,B0,2,65536,64,NOT_STARTED,,
v11_2B_T_C_B1-K_s1,2B,T_C,B1-K,1,65536,64,NOT_STARTED,,
v11_2B_T_C_B1-K_s2,2B,T_C,B1-K,2,65536,64,NOT_STARTED,,
v11_2B_T_C_B2_s1,2B,T_C,B2,1,65536,64,NOT_STARTED,,
v11_2B_T_C_B2_s2,2B,T_C,B2,2,65536,64,NOT_STARTED,,
v11_2B_T_C_Full_s1,2B,T_C,Full,1,65536,64,NOT_STARTED,,
v11_2B_T_C_Full_s2,2B,T_C,Full,2,65536,64,NOT_STARTED,,
v11_3A_T_C_A_CAT_s1,3A,T_C,A_CAT,1,65536,64,NOT_STARTED,,v11_2B_T_C_Full_s1
v11_3A_T_C_A_CAT_s2,3A,T_C,A_CAT,2,65536,64,NOT_STARTED,,v11_2B_T_C_Full_s2
v11_3B_T_C_A_Q_s0,3B,T_C,A_Q,0,65536,64,NOT_STARTED,,v11_2A_T_C_Full_s0
v11_3B_T_C_A_Q_s1,3B,T_C,A_Q,1,65536,64,NOT_STARTED,,v11_2B_T_C_Full_s1
v11_3B_T_C_A_Q_s2,3B,T_C,A_Q,2,65536,64,NOT_STARTED,,v11_2B_T_C_Full_s2
v11_3C_T_C_A_B_s0,3C,T_C,A_B,0,65536,64,NOT_STARTED,,v11_2A_T_C_Full_s0
v11_3C_T_C_A_B_s1,3C,T_C,A_B,1,65536,64,NOT_STARTED,,v11_2B_T_C_Full_s1
v11_3C_T_C_A_B_s2,3C,T_C,A_B,2,65536,64,NOT_STARTED,,v11_2B_T_C_Full_s2
