skill_id,attempt,seed,controller_exit,sim_duration,steps,verifier_fact,verifier_value,hidden_qa,verified_success,wrong_object,timeout,nan_blocked,rejected,interrupted,states,policy_input_keys,verifier_evidence
a:OPEN:container:v1,0,7000,NORMAL_TERMINATION,7.5999999999995405,152,p:Open:container,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|RETREAT|INTERACT|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:lid_offset_from_container
a:OPEN:container:v1,1,7001,NORMAL_TERMINATION,7.5999999999995405,152,p:Open:container,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|RETREAT|INTERACT|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:lid_offset_from_container
a:OPEN:container:v1,2,7002,NORMAL_TERMINATION,7.5999999999995405,152,p:Open:container,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|RETREAT|INTERACT|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:lid_offset_from_container
a:OPEN:container:v1,3,7003,NORMAL_TERMINATION,7.5999999999995405,152,p:Open:container,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|RETREAT|INTERACT|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:lid_offset_from_container
a:OPEN:container:v1,4,7004,NORMAL_TERMINATION,7.5999999999995405,152,p:Open:container,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|RETREAT|INTERACT|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:lid_offset_from_container
a:PICK:target:v1,0,7010,NORMAL_TERMINATION,4.1999999999996485,84,p:Held:target,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:closed_gripper_near_object_blob
a:PICK:target:v1,1,7011,NORMAL_TERMINATION,4.0999999999996595,82,p:Held:target,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:closed_gripper_near_object_blob
a:PICK:target:v1,2,7012,NORMAL_TERMINATION,3.7999999999996925,76,p:Held:target,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:closed_gripper_near_object_blob
a:PICK:target:v1,3,7013,NORMAL_TERMINATION,3.7999999999996925,76,p:Held:target,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:closed_gripper_near_object_blob
a:PICK:target:v1,4,7014,NORMAL_TERMINATION,3.849999999999687,77,p:Held:target,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:closed_gripper_near_object_blob
a:PICK:second_object:v1,0,7020,NORMAL_TERMINATION,4.1999999999996485,84,p:Held:second_object,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:closed_gripper_near_object_blob
a:PICK:second_object:v1,1,7021,NORMAL_TERMINATION,4.049999999999665,81,p:Held:second_object,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:closed_gripper_near_object_blob
a:PICK:second_object:v1,2,7022,NORMAL_TERMINATION,4.1999999999996485,84,p:Held:second_object,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:closed_gripper_near_object_blob
a:PICK:second_object:v1,3,7023,NORMAL_TERMINATION,3.7999999999996925,76,p:Held:second_object,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:closed_gripper_near_object_blob
a:PICK:second_object:v1,4,7024,NORMAL_TERMINATION,3.9999999999996705,80,p:Held:second_object,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:closed_gripper_near_object_blob
a:PLACE:target:container:v1,0,7030,NORMAL_TERMINATION,2.9500000000007613,59,p:Inside:target:container,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:xy_inside_container_estimate
a:PLACE:target:container:v1,1,7031,NORMAL_TERMINATION,3.0000000000009557,60,p:Inside:target:container,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:xy_inside_container_estimate
a:PLACE:target:container:v1,2,7032,NORMAL_TERMINATION,2.9000000000009685,58,p:Inside:target:container,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:xy_inside_container_estimate
a:PLACE:target:container:v1,3,7033,NORMAL_TERMINATION,3.000000000001002,60,p:Inside:target:container,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:xy_inside_container_estimate
a:PLACE:target:container:v1,4,7034,NORMAL_TERMINATION,2.9000000000007446,58,p:Inside:target:container,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:xy_inside_container_estimate
a:PLACE:second_object:container:v1,0,7040,NORMAL_TERMINATION,2.900000000000789,58,p:Inside:second_object:container,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:xy_inside_container_estimate
a:PLACE:second_object:container:v1,1,7041,NORMAL_TERMINATION,2.950000000000985,59,p:Inside:second_object:container,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:xy_inside_container_estimate
a:PLACE:second_object:container:v1,2,7042,NORMAL_TERMINATION,2.95000000000085,59,p:Inside:second_object:container,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:xy_inside_container_estimate
a:PLACE:second_object:container:v1,3,7043,NORMAL_TERMINATION,2.9500000000008946,59,p:Inside:second_object:container,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:xy_inside_container_estimate
a:PLACE:second_object:container:v1,4,7044,NORMAL_TERMINATION,2.950000000000985,59,p:Inside:second_object:container,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:xy_inside_container_estimate
a:PLACE_BUFFER:target:buffer:v1,0,7050,NORMAL_TERMINATION,3.5500000000008285,71,p:AtBuffer:target:buffer,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:xy_inside_buffer_estimate
a:PLACE_BUFFER:target:buffer:v1,1,7051,NORMAL_TERMINATION,3.5500000000000735,71,p:AtBuffer:target:buffer,TRUE,True,True,False,False,False,False,False,APPROACH|INTERACT|RETREAT,"[""depth"", ""eef_pos"", ""eef_quat"", ""gripper_qpos"", ""proprio"", ""rgb"", ""sim_time""]",cp-disr-d0-verifier-v1:xy_inside_buffer_estimate
