step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.250102,0.04939,0.981563,0.0,0.0,0.82,natural_success,scripted_oracle
10,0.149222,0.049137,0.978254,0.0,0.0,0.82,natural_success,scripted_oracle
20,0.010361,0.011029,0.968895,0.0,0.0,0.82,natural_success,scripted_oracle
30,0.210595,0.109324,0.990214,0.2,0.1,0.84,natural_success,scripted_oracle
40,0.409078,0.211267,1.009253,0.4,0.2,0.86,natural_success,scripted_oracle
50,0.611045,0.310302,1.029139,0.6,0.3,0.88,natural_success,scripted_oracle
60,0.80984,0.110327,0.769737,0.8,0.1,0.65,natural_success,scripted_oracle
70,0.809765,0.111698,0.770528,0.8,0.1,0.65,natural_success,scripted_oracle
80,0.808592,0.109006,0.770167,0.8,0.1,0.65,natural_success,scripted_oracle
90,0.810445,0.110393,0.771138,0.8,0.1,0.65,natural_success,scripted_oracle
100,0.810906,0.110123,0.768755,0.8,0.1,0.65,natural_success,scripted_oracle
110,0.809597,0.109946,0.769152,0.8,0.1,0.65,natural_success,scripted_oracle
