step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.250128,0.049597,0.978058,0.0,0.0,0.82,terminal_failure,scripted_oracle
10,0.149472,0.050209,0.980226,0.0,0.0,0.82,terminal_failure,scripted_oracle
20,0.009923,0.010546,0.97096,0.0,0.0,0.82,terminal_failure,scripted_oracle
30,0.209989,0.109169,0.991642,0.2,0.1,0.84,terminal_failure,scripted_oracle
40,0.410075,0.208831,1.010123,0.4,0.2,0.86,terminal_failure,scripted_oracle
50,0.610009,0.310666,1.028931,0.6,0.3,0.88,terminal_failure,scripted_oracle
60,0.810953,0.108408,0.770489,0.8,0.1,0.65,terminal_failure,scripted_oracle
70,0.809603,0.110116,0.768649,0.8,0.1,0.65,terminal_failure,scripted_oracle
80,0.808754,0.108638,0.770583,0.8,0.1,0.65,terminal_failure,scripted_oracle
90,0.80908,0.110163,0.769534,0.8,0.1,0.65,terminal_failure,scripted_oracle
100,0.811088,0.111236,0.770057,0.8,0.1,0.65,terminal_failure,scripted_oracle
110,0.809382,0.109754,0.769515,0.8,0.1,0.65,terminal_failure,scripted_oracle
