step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.248355,0.051168,0.98163,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
10,0.149128,0.049237,0.980502,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
20,0.009882,0.010814,0.970658,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
30,0.210183,0.10948,0.989273,0.2,0.1,0.84,drop_and_regrasp,scripted_oracle
40,0.409623,0.209948,1.009103,0.4,0.2,0.86,drop_and_regrasp,scripted_oracle
50,0.612904,0.310196,1.029655,0.6,0.3,0.88,drop_and_regrasp,scripted_oracle
60,0.298578,0.200422,0.900929,0.8,0.1,0.55,drop_and_regrasp,scripted_oracle
70,0.809505,0.111723,0.67122,0.8,0.1,0.55,drop_and_regrasp,scripted_oracle
80,0.609637,0.10974,0.71769,0.6,0.1,0.6,drop_and_regrasp,scripted_oracle
90,0.809496,0.110125,0.771138,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
100,0.809705,0.109907,0.770081,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
110,0.810045,0.111848,0.770151,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
