step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.252592,0.050468,0.979876,0.0,0.0,0.82,terminal_failure,scripted_oracle
10,0.148988,0.050263,0.981241,0.0,0.0,0.82,terminal_failure,scripted_oracle
20,0.010424,0.009104,0.97043,0.0,0.0,0.82,terminal_failure,scripted_oracle
30,0.208734,0.109606,0.989507,0.2,0.1,0.84,terminal_failure,scripted_oracle
40,0.409921,0.20962,1.009651,0.4,0.2,0.86,terminal_failure,scripted_oracle
50,0.608464,0.309535,1.03039,0.6,0.3,0.88,terminal_failure,scripted_oracle
60,0.811168,0.110702,0.770777,0.8,0.1,0.65,terminal_failure,scripted_oracle
70,0.809282,0.10777,0.768957,0.8,0.1,0.65,terminal_failure,scripted_oracle
80,0.809214,0.107447,0.77066,0.8,0.1,0.65,terminal_failure,scripted_oracle
90,0.810495,0.109678,0.770556,0.8,0.1,0.65,terminal_failure,scripted_oracle
100,0.811675,0.109486,0.770275,0.8,0.1,0.65,terminal_failure,scripted_oracle
110,0.81238,0.109519,0.768565,0.8,0.1,0.65,terminal_failure,scripted_oracle
