step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.250152,0.049651,0.980159,0.0,0.0,0.82,gripper_reopen,scripted_oracle
10,0.150509,0.050851,0.97978,0.0,0.0,0.82,gripper_reopen,scripted_oracle
20,0.010168,0.009315,0.970576,0.0,0.0,0.82,gripper_reopen,scripted_oracle
30,0.210768,0.110889,0.990195,0.2,0.1,0.84,gripper_reopen,scripted_oracle
40,0.410342,0.209739,1.010432,0.4,0.2,0.86,gripper_reopen,scripted_oracle
50,0.609622,0.308895,1.030611,0.6,0.3,0.88,gripper_reopen,scripted_oracle
60,0.301644,0.198328,0.90034,0.8,0.1,0.55,gripper_reopen,scripted_oracle
70,0.809004,0.108397,0.668813,0.8,0.1,0.55,gripper_reopen,scripted_oracle
80,0.610852,0.109687,0.720686,0.6,0.1,0.6,gripper_reopen,scripted_oracle
90,0.80892,0.108089,0.769259,0.8,0.1,0.65,gripper_reopen,scripted_oracle
100,0.810765,0.108009,0.770207,0.8,0.1,0.65,gripper_reopen,scripted_oracle
110,0.809659,0.109634,0.768536,0.8,0.1,0.65,gripper_reopen,scripted_oracle
