step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.249625,0.050768,0.981271,0.0,0.0,0.82,natural_success,scripted_oracle
10,0.150243,0.050228,0.980405,0.0,0.0,0.82,natural_success,scripted_oracle
20,0.009375,0.009619,0.970617,0.0,0.0,0.82,natural_success,scripted_oracle
30,0.21081,0.109883,0.989305,0.2,0.1,0.84,natural_success,scripted_oracle
40,0.410085,0.208497,1.01042,0.4,0.2,0.86,natural_success,scripted_oracle
50,0.60953,0.311254,1.029116,0.6,0.3,0.88,natural_success,scripted_oracle
60,0.810851,0.110611,0.768887,0.8,0.1,0.65,natural_success,scripted_oracle
70,0.809284,0.110137,0.769513,0.8,0.1,0.65,natural_success,scripted_oracle
80,0.809918,0.10892,0.769504,0.8,0.1,0.65,natural_success,scripted_oracle
90,0.808665,0.11029,0.768118,0.8,0.1,0.65,natural_success,scripted_oracle
100,0.809801,0.109938,0.770123,0.8,0.1,0.65,natural_success,scripted_oracle
110,0.809525,0.110519,0.769417,0.8,0.1,0.65,natural_success,scripted_oracle
