segment_id,episode_id,root_family_id,split,start_t,end_t,duration,boundary_confidence_start,boundary_confidence_end,unknown_fraction,observable_contact_history,observable_contact_loss_count,source_method
formal_u2_family_000_r00_s00,formal_u2_family_000_r00,u2_family_000,train,0,2,3,0.34833866357803345,0.683469831943512,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r00_s01,formal_u2_family_000_r00,u2_family_000,train,3,6,4,0.5011462569236755,0.9326933026313782,0.75,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r00_s02,formal_u2_family_000_r00,u2_family_000,train,7,17,11,0.31626418232917786,0.5112131237983704,0.45454545454545453,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r00_s03,formal_u2_family_000_r00,u2_family_000,train,18,20,3,0.651918888092041,0.5001619458198547,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r00_s04,formal_u2_family_000_r00,u2_family_000,train,21,23,3,0.49152180552482605,0.9842820763587952,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r00_s05,formal_u2_family_000_r00,u2_family_000,train,24,25,2,0.5804222226142883,0.5410318374633789,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r01_s00,formal_u2_family_000_r01,u2_family_000,train,0,2,3,0.3471805453300476,0.6786707639694214,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r01_s01,formal_u2_family_000_r01,u2_family_000,train,3,6,4,0.5010697245597839,0.9315380454063416,0.75,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r01_s02,formal_u2_family_000_r01,u2_family_000,train,7,16,10,0.3116496801376343,0.5040726065635681,0.4,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r01_s03,formal_u2_family_000_r01,u2_family_000,train,17,19,3,0.4992752969264984,0.5078408718109131,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r01_s04,formal_u2_family_000_r01,u2_family_000,train,20,22,3,0.5076601505279541,0.5124806761741638,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r01_s05,formal_u2_family_000_r01,u2_family_000,train,23,25,3,0.9868423342704773,0.5810241103172302,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r02_s00,formal_u2_family_000_r02,u2_family_000,train,0,2,3,0.3496854305267334,0.6766102910041809,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r02_s01,formal_u2_family_000_r02,u2_family_000,train,3,5,3,0.4960764944553375,0.9357598423957825,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r02_s02,formal_u2_family_000_r02,u2_family_000,train,6,16,11,0.3446814715862274,0.5044730305671692,0.36363636363636365,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r02_s03,formal_u2_family_000_r02,u2_family_000,train,17,19,3,0.5041847229003906,0.6496132612228394,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r02_s04,formal_u2_family_000_r02,u2_family_000,train,20,23,4,0.501458466053009,0.5007986426353455,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r02_s05,formal_u2_family_000_r02,u2_family_000,train,24,26,3,0.9857629537582397,0.561369001865387,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r03_s00,formal_u2_family_000_r03,u2_family_000,train,0,2,3,0.351151704788208,0.681869626045227,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r03_s01,formal_u2_family_000_r03,u2_family_000,train,3,6,4,0.4998704493045807,0.9338650107383728,0.75,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r03_s02,formal_u2_family_000_r03,u2_family_000,train,7,16,10,0.31483763456344604,0.5034640431404114,0.4,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r03_s03,formal_u2_family_000_r03,u2_family_000,train,17,19,3,0.4978923499584198,0.6495600342750549,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r03_s04,formal_u2_family_000_r03,u2_family_000,train,20,24,5,0.49710777401924133,0.9853211045265198,0.8,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r03_s05,formal_u2_family_000_r03,u2_family_000,train,25,26,2,0.5823337435722351,0.5455712080001831,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r04_s00,formal_u2_family_000_r04,u2_family_000,train,0,2,3,0.3482617735862732,0.6801605820655823,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r04_s01,formal_u2_family_000_r04,u2_family_000,train,3,6,4,0.4967225193977356,0.932208240032196,0.75,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r04_s02,formal_u2_family_000_r04,u2_family_000,train,7,15,9,0.31474167108535767,0.5036782622337341,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r04_s03,formal_u2_family_000_r04,u2_family_000,train,16,18,3,0.4977017045021057,0.5094414949417114,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r04_s04,formal_u2_family_000_r04,u2_family_000,train,19,25,7,0.6444101333618164,0.983016312122345,0.8571428571428571,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r04_s05,formal_u2_family_000_r04,u2_family_000,train,26,27,2,0.585496187210083,0.5680399537086487,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r05_s00,formal_u2_family_000_r05,u2_family_000,train,0,2,3,0.3469843566417694,0.6798622608184814,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r05_s01,formal_u2_family_000_r05,u2_family_000,train,3,6,4,0.49678733944892883,0.93332839012146,0.75,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r05_s02,formal_u2_family_000_r05,u2_family_000,train,7,17,11,0.3062451481819153,0.6524222493171692,0.5454545454545454,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r05_s03,formal_u2_family_000_r05,u2_family_000,train,18,21,4,0.5063981413841248,0.5011760592460632,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_000_r05_s04,formal_u2_family_000_r05,u2_family_000,train,22,24,3,0.9856738448143005,0.5332913994789124,0.6666666666666666,True,0,offline_teacher_to_causal_s623
