step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.25079,0.052247,0.979978,0.0,0.0,0.82,gripper_reopen,scripted_oracle
10,0.148517,0.049823,0.981005,0.0,0.0,0.82,gripper_reopen,scripted_oracle
20,0.010305,0.00995,0.97022,0.0,0.0,0.82,gripper_reopen,scripted_oracle
30,0.20934,0.111319,0.990137,0.2,0.1,0.84,gripper_reopen,scripted_oracle
40,0.4111,0.209801,1.009917,0.4,0.2,0.86,gripper_reopen,scripted_oracle
50,0.610861,0.310507,1.030367,0.6,0.3,0.88,gripper_reopen,scripted_oracle
60,0.300465,0.198294,0.900346,0.8,0.1,0.55,gripper_reopen,scripted_oracle
70,0.808451,0.109083,0.672378,0.8,0.1,0.55,gripper_reopen,scripted_oracle
80,0.610725,0.110099,0.720287,0.6,0.1,0.6,gripper_reopen,scripted_oracle
90,0.810821,0.110586,0.769726,0.8,0.1,0.65,gripper_reopen,scripted_oracle
100,0.811116,0.108901,0.770954,0.8,0.1,0.65,gripper_reopen,scripted_oracle
110,0.809091,0.108005,0.769056,0.8,0.1,0.65,gripper_reopen,scripted_oracle
